day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,82,1,5,14,0.012195121951219513,0.06097560975609756,0.17073170731707318,0.0594869370974554,0.221856852497096
2018-01-02,115,0,7,13,0.0,0.06086956521739131,0.11304347826086956,0.0253392517305561,0.232765083547692
2018-01-03,119,1,15,25,0.008403361344537815,0.12605042016806722,0.21008403361344538,0.0326789806831824,0.2197392593401
2018-01-04,57,2,7,18,0.03508771929824561,0.12280701754385964,0.3157894736842105,0.051668312194628,0.158719399508873
2018-01-05,56,2,12,21,0.03571428571428571,0.21428571428571427,0.375,0.034077380952381,0.204761904761905
2018-01-06,34,0,5,13,0.0,0.14705882352941177,0.38235294117647056,0.0547794117647059,0.167156862745098
2018-01-07,51,4,12,17,0.0784313725490196,0.23529411764705882,0.3333333333333333,0.0192587641117053,0.182516339869281
2018-01-08,76,0,8,14,0.0,0.10526315789473684,0.18421052631578946,0.0353500227842333,0.0837633382699172
2018-01-09,55,4,9,9,0.07272727272727272,0.16363636363636364,0.16363636363636364,0.0213636363636364,0.132070707070707
2018-01-10,56,0,11,20,0.0,0.19642857142857142,0.35714285714285715,0.0202949134199134,0.21325487012987
2018-01-11,73,3,11,19,0.0410958904109589,0.1506849315068493,0.2602739726027397,0.058030303030303,0.220565587380656
2018-01-12,44,0,7,11,0.0,0.1590909090909091,0.25,0.062637741046832,0.223691460055096
2018-01-13,24,1,2,3,0.041666666666666664,0.08333333333333333,0.125,0.0395549242424242,0.183030303030303
2018-01-14,32,1,7,7,0.03125,0.21875,0.21875,0.0357244318181818,0.1921875
2018-01-15,48,3,8,6,0.0625,0.16666666666666666,0.125,0.0588886258417508,0.174480218855219
2018-01-16,57,1,12,16,0.017543859649122806,0.21052631578947367,0.2807017543859649,0.0227913533834587,0.104006544138123
2018-01-17,48,6,6,13,0.125,0.125,0.2708333333333333,0.0162089646464646,0.13186553030303
2018-01-18,45,0,7,13,0.0,0.15555555555555556,0.28888888888888886,0.0717901234567901,0.0996913580246914
2018-01-19,51,0,6,8,0.0,0.11764705882352941,0.1568627450980392,0.0403842345018816,0.146387898593781
2018-01-20,39,0,8,10,0.0,0.20512820512820512,0.2564102564102564,0.0174501424501424,0.138196988196988
2018-01-21,24,0,5,7,0.0,0.20833333333333334,0.2916666666666667,0.0187026515151515,0.127967171717172
2018-01-22,30,2,2,8,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.0191666666666667,0.269583333333333
2018-01-23,38,0,9,9,0.0,0.23684210526315788,0.23684210526315788,0.0163078149920255,0.125370243791296
2018-01-24,44,8,5,12,0.18181818181818182,0.11363636363636363,0.2727272727272727,0.0115530303030303,0.144318181818182
2018-01-25,41,5,5,7,0.12195121951219512,0.12195121951219512,0.17073170731707318,-0.0109756097560976,0.067479674796748
2018-01-26,40,2,1,7,0.05,0.025,0.175,0.0241875,0.1020625
2018-01-27,29,3,5,9,0.10344827586206896,0.1724137931034483,0.3103448275862069,0.0293103448275862,0.0672413793103448
2018-01-28,20,2,0,2,0.1,0.0,0.1,-0.0402777777777778,0.145902777777778
2018-01-29,34,0,4,12,0.0,0.11764705882352941,0.35294117647058826,0.0717888327205882,0.251838235294118
2018-01-30,41,0,3,12,0.0,0.07317073170731707,0.2926829268292683,0.00515521064301552,0.165049889135255
2018-01-31,31,0,4,2,0.0,0.12903225806451613,0.06451612903225806,0.0502688172043011,0.170097286226318
2018-02-01,49,0,2,5,0.0,0.04081632653061224,0.10204081632653061,0.0326166180758017,0.129300291545189
2018-02-02,68,0,10,10,0.0,0.14705882352941177,0.14705882352941177,0.0546430693489517,0.158070463033698
2018-02-03,33,0,2,5,0.0,0.06060606060606061,0.15151515151515152,0.0191153963881237,0.114615855524946
2018-02-04,32,0,3,5,0.0,0.09375,0.15625,0.00702776227678571,0.168917410714286
2018-02-05,55,0,2,17,0.0,0.03636363636363636,0.3090909090909091,0.0412947658402204,0.154820936639118
2018-02-06,52,1,5,10,0.019230769230769232,0.09615384615384616,0.19230769230769232,-0.00383470695970696,0.199290293040293
2018-02-07,40,0,8,10,0.0,0.2,0.25,0.0666666666666667,0.0916666666666667
2018-02-08,36,0,3,6,0.0,0.08333333333333333,0.16666666666666666,0.0473526936026936,0.245218855218855
2018-02-09,48,2,15,11,0.041666666666666664,0.3125,0.22916666666666666,0.016729797979798,0.0678030303030303
2018-02-10,21,0,0,3,0.0,0.0,0.14285714285714285,0.0486507936507937,0.143015873015873
2018-02-11,36,6,2,7,0.16666666666666666,0.05555555555555555,0.19444444444444445,0.0194675925925926,0.141226851851852
2018-02-12,38,2,1,9,0.05263157894736842,0.02631578947368421,0.23684210526315788,0.0250757101086048,0.200449039264829
2018-02-13,35,0,7,6,0.0,0.2,0.17142857142857143,0.0448051948051948,0.110064935064935
2018-02-14,31,0,1,8,0.0,0.03225806451612903,0.25806451612903225,0.0439149560117302,0.256867057673509
2018-02-15,45,2,9,10,0.044444444444444446,0.2,0.2222222222222222,0.000762065095398429,0.146729517396184
2018-02-16,36,0,2,4,0.0,0.05555555555555555,0.1111111111111111,0.0115951178451178,0.173411195286195
2018-02-17,28,1,8,9,0.03571428571428571,0.2857142857142857,0.32142857142857145,0.0366071428571429,0.110714285714286
2018-02-18,24,1,4,6,0.041666666666666664,0.16666666666666666,0.25,-0.00994318181818182,0.198106060606061
2018-02-19,41,2,4,4,0.04878048780487805,0.0975609756097561,0.0975609756097561,0.0257680463168268,0.239278763242178
2018-02-20,43,1,5,7,0.023255813953488372,0.11627906976744186,0.16279069767441862,0.0162170542635659,0.147852713178295
2018-02-21,46,1,3,9,0.021739130434782608,0.06521739130434782,0.1956521739130435,0.0161835748792271,0.0717693236714976
2018-02-22,42,0,4,6,0.0,0.09523809523809523,0.14285714285714285,0.0415316536968323,0.186427197141483
2018-02-23,38,0,6,3,0.0,0.15789473684210525,0.07894736842105263,0.169282581453634,0.247102130325815
2018-02-24,28,1,1,4,0.03571428571428571,0.03571428571428571,0.14285714285714285,0.0381944444444444,0.11984126984127
2018-02-25,31,2,7,5,0.06451612903225806,0.22580645161290322,0.16129032258064516,0.0616280896522832,0.276105525299074
2018-02-26,40,0,4,10,0.0,0.1,0.25,0.127982954545455,0.326714015151515
2018-02-27,39,1,4,10,0.02564102564102564,0.10256410256410256,0.2564102564102564,0.105015971682638,0.305221013554347
2018-02-28,36,2,2,7,0.05555555555555555,0.05555555555555555,0.19444444444444445,0.0968740981240981,0.29347582972583
2018-03-01,35,1,4,4,0.02857142857142857,0.11428571428571428,0.11428571428571428,0.0546938775510204,0.187040816326531
2018-03-02,30,0,5,5,0.0,0.16666666666666666,0.16666666666666666,0.0504166666666667,0.240694444444444
2018-03-03,26,0,3,1,0.0,0.11538461538461539,0.038461538461538464,0.0133449883449883,0.150553613053613
2018-03-04,27,1,3,4,0.037037037037037035,0.1111111111111111,0.14814814814814814,0.03725215114104,0.229386457164235
2018-03-05,110,1,2,12,0.00909090909090909,0.01818181818181818,0.10909090909090909,0.042631228619865,0.22510162564708
2018-03-06,225,1,1,24,0.0044444444444444444,0.0044444444444444444,0.10666666666666667,0.0294649751483085,0.191013820747154
2018-03-07,39,2,3,3,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.0248575498575499,0.225676638176638
2018-03-08,86,2,6,9,0.023255813953488372,0.06976744186046512,0.10465116279069768,0.0179828811369509,0.192167312661499
2018-03-09,43,1,5,4,0.023255813953488372,0.11627906976744186,0.09302325581395349,0.0204565030146426,0.207967269595177
2018-03-10,55,2,4,4,0.03636363636363636,0.07272727272727272,0.07272727272727272,0.0321212121212121,0.203181818181818
2018-03-11,46,1,1,6,0.021739130434782608,0.021739130434782608,0.13043478260869565,0.0516002415458937,0.175845410628019
2018-03-12,50,1,7,3,0.02,0.14,0.06,0.0141772486772487,0.162227513227513
2018-03-13,37,2,5,5,0.05405405405405406,0.13513513513513514,0.13513513513513514,0.0697583947583948,0.214434889434889
