day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,48,8,2,5,0.16666666666666666,0.041666666666666664,0.10416666666666667,0.0,0.4
2018-01-02,48,9,2,8,0.1875,0.041666666666666664,0.16666666666666666,0.0,0.4
2018-01-03,48,5,0,2,0.10416666666666667,0.0,0.041666666666666664,0.0,0.4
2018-01-04,48,1,3,7,0.020833333333333332,0.0625,0.14583333333333334,0.0,0.4
2018-01-05,48,1,10,12,0.020833333333333332,0.20833333333333334,0.25,0.0,0.4
2018-01-06,48,5,3,27,0.10416666666666667,0.0625,0.5625,0.0,0.4
2018-01-07,48,2,3,12,0.041666666666666664,0.0625,0.25,0.0,0.4
2018-01-08,48,0,0,3,0.0,0.0,0.0625,0.0,0.4
2018-01-09,48,3,0,2,0.0625,0.0,0.041666666666666664,0.0,0.4
2018-01-10,48,13,2,9,0.2708333333333333,0.041666666666666664,0.1875,0.0,0.4
2018-01-11,48,9,2,7,0.1875,0.041666666666666664,0.14583333333333334,0.0,0.4
2018-01-12,48,114,3,10,2.375,0.0625,0.20833333333333334,0.0,0.4
2018-01-13,48,67,6,2,1.3958333333333333,0.125,0.041666666666666664,0.0,0.4
2018-01-14,48,24,1,2,0.5,0.020833333333333332,0.041666666666666664,0.0,0.4
2018-01-15,40,28,1,3,0.7,0.025,0.075,0.0,0.4
2018-01-16,48,14,3,13,0.2916666666666667,0.0625,0.2708333333333333,0.0,0.4
2018-01-17,48,26,3,16,0.5416666666666666,0.0625,0.3333333333333333,0.0,0.4
2018-01-18,48,38,5,8,0.7916666666666666,0.10416666666666667,0.16666666666666666,0.0,0.4
2018-01-19,48,35,2,7,0.7291666666666666,0.041666666666666664,0.14583333333333334,0.0,0.4
2018-01-20,48,42,1,7,0.875,0.020833333333333332,0.14583333333333334,0.0,0.4
2018-01-21,48,48,0,5,1.0,0.0,0.10416666666666667,0.0,0.4
2018-01-22,48,356,2,7,7.416666666666667,0.041666666666666664,0.14583333333333334,0.0,0.4
2018-01-23,48,416,1,4,8.666666666666666,0.020833333333333332,0.08333333333333333,0.0,0.4
2018-01-24,48,124,5,8,2.5833333333333335,0.10416666666666667,0.16666666666666666,0.0,0.4
2018-01-25,48,129,4,2,2.6875,0.08333333333333333,0.041666666666666664,0.0,0.4
2018-01-26,48,109,4,4,2.2708333333333335,0.08333333333333333,0.08333333333333333,0.0,0.4
2018-01-27,48,116,1,3,2.4166666666666665,0.020833333333333332,0.0625,0.0,0.4
2018-01-28,48,135,1,3,2.8125,0.020833333333333332,0.0625,0.0,0.4
2018-01-29,48,154,1,3,3.2083333333333335,0.020833333333333332,0.0625,0.0,0.4
2018-01-30,48,123,1,2,2.5625,0.020833333333333332,0.041666666666666664,0.0,0.4
2018-01-31,48,105,4,4,2.1875,0.08333333333333333,0.08333333333333333,0.0,0.4
2018-02-01,48,40,1,3,0.8333333333333334,0.020833333333333332,0.0625,0.0,0.4
2018-02-02,48,44,2,4,0.9166666666666666,0.041666666666666664,0.08333333333333333,0.0,0.4
2018-02-03,48,17,6,4,0.3541666666666667,0.125,0.08333333333333333,0.0,0.4
2018-02-04,48,14,4,3,0.2916666666666667,0.08333333333333333,0.0625,0.0,0.4
2018-02-05,46,25,2,3,0.5434782608695652,0.043478260869565216,0.06521739130434782,0.0,0.4
2018-02-06,48,29,1,5,0.6041666666666666,0.020833333333333332,0.10416666666666667,0.0,0.4
2018-02-07,48,44,2,5,0.9166666666666666,0.041666666666666664,0.10416666666666667,0.0,0.4
2018-02-08,47,48,9,8,1.021276595744681,0.19148936170212766,0.1702127659574468,0.0,0.4
2018-02-09,48,63,5,7,1.3125,0.10416666666666667,0.14583333333333334,0.0,0.4
2018-02-10,48,151,2,5,3.1458333333333335,0.041666666666666664,0.10416666666666667,0.0,0.4
2018-02-11,48,203,3,10,4.229166666666667,0.0625,0.20833333333333334,0.0,0.4
2018-02-12,48,70,2,17,1.4583333333333333,0.041666666666666664,0.3541666666666667,0.0,0.4
2018-02-13,48,63,2,2,1.3125,0.041666666666666664,0.041666666666666664,0.0,0.4
