day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,12,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-02,1,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-16,3,1,0,0,0.3333333333333333,0.0,0.0,0.0,0.1
2018-01-17,13,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-18,12,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-19,11,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-20,16,0,0,0,0.0,0.0,0.0,0.0,0.096875
2018-01-21,10,1,0,0,0.1,0.0,0.0,0.0,0.1
2018-01-22,15,0,0,0,0.0,0.0,0.0,-0.0166666666666667,0.13
2018-01-23,11,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-24,11,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-25,17,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-26,16,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-27,16,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-28,15,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-29,19,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-30,18,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-01-31,17,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-01,15,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-02,18,0,0,0,0.0,0.0,0.0,0.0,0.0861111111111111
2018-02-03,13,1,0,0,0.07692307692307693,0.0,0.0,0.0,0.0884615384615385
2018-02-04,14,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-05,14,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-06,19,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-07,10,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-08,18,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-09,15,0,0,1,0.0,0.0,0.06666666666666667,0.0,0.1
2018-02-10,14,0,2,0,0.0,0.14285714285714285,0.0,0.0,0.1
2018-02-11,15,1,12,1,0.06666666666666667,0.8,0.06666666666666667,0.0,0.1
2018-02-12,18,0,2,0,0.0,0.1111111111111111,0.0,0.0,0.1
2018-02-13,15,0,0,1,0.0,0.0,0.06666666666666667,0.0,0.09
2018-02-14,16,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-15,16,0,7,0,0.0,0.4375,0.0,0.0,0.1
2018-02-16,14,0,5,0,0.0,0.35714285714285715,0.0,-0.0178571428571429,0.132142857142857
2018-02-17,8,0,3,2,0.0,0.375,0.25,0.0,0.1
2018-02-18,8,0,2,1,0.0,0.25,0.125,0.0,0.1
2018-02-19,19,0,2,1,0.0,0.10526315789473684,0.05263157894736842,0.0,0.1
2018-02-20,19,0,6,1,0.0,0.3157894736842105,0.05263157894736842,0.0,0.0921052631578948
2018-02-21,16,0,6,0,0.0,0.375,0.0,0.0,0.090625
2018-02-22,15,0,2,0,0.0,0.13333333333333333,0.0,0.02,0.13
2018-02-23,13,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-24,13,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-25,16,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-26,14,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-27,15,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-02-28,18,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-01,15,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-02,16,0,0,0,0.0,0.0,0.0,0.0,0.09375
2018-03-03,11,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-04,10,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-05,19,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-06,14,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-07,14,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-08,15,2,0,0,0.13333333333333333,0.0,0.0,0.0,0.1
2018-03-09,13,0,0,0,0.0,0.0,0.0,0.0,0.1
2018-03-10,11,0,0,0,0.0,0.0,0.0,0.0,0.1
