day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,84,25,64,91,0.2976190476190476,0.7619047619047619,1.0833333333333333,-0.104437229437229,0.212040043290043
2018-01-02,108,24,84,119,0.2222222222222222,0.7777777777777778,1.1018518518518519,0.0469738055154722,0.22933341350008
2018-01-03,134,18,120,163,0.13432835820895522,0.8955223880597015,1.2164179104477613,0.0956044991492753,0.277257112704874
2018-01-04,102,16,74,112,0.1568627450980392,0.7254901960784313,1.0980392156862746,0.0430447684124155,0.240719696969697
2018-01-05,102,9,73,129,0.08823529411764706,0.7156862745098039,1.2647058823529411,0.0514004894887248,0.17032941459412
2018-01-06,56,9,42,83,0.16071428571428573,0.75,1.4821428571428572,0.0543853715728716,0.143105158730159
2018-01-07,76,10,49,93,0.13157894736842105,0.6447368421052632,1.2236842105263157,0.0444990316700843,0.235161768056505
2018-01-08,141,22,103,159,0.15602836879432624,0.7304964539007093,1.127659574468085,0.0138729493516728,0.204100861707245
2018-01-09,125,32,110,157,0.256,0.88,1.256,0.0188976623376623,0.204927445887446
2018-01-10,141,96,94,128,0.6808510638297872,0.6666666666666666,0.9078014184397163,-0.0125008954796189,0.198552904935884
2018-01-11,145,86,104,159,0.593103448275862,0.7172413793103448,1.096551724137931,-9.16710205503266e-05,0.192207331940091
2018-01-12,103,79,95,140,0.7669902912621359,0.9223300970873787,1.3592233009708738,0.0417441404334608,0.303798666274394
2018-01-13,61,28,56,104,0.45901639344262296,0.9180327868852459,1.7049180327868851,0.143995280675609,0.217256582215599
2018-01-14,54,21,44,58,0.3888888888888889,0.8148148148148148,1.0740740740740742,0.0500514403292181,0.246059670781893
2018-01-15,68,21,52,86,0.3088235294117647,0.7647058823529411,1.2647058823529411,-0.00341283104150751,0.185769353195824
2018-01-16,231,165,158,243,0.7142857142857143,0.683982683982684,1.051948051948052,0.0310567643035175,0.168043468075936
2018-01-17,179,99,109,184,0.553072625698324,0.6089385474860335,1.0279329608938548,0.010374152538957,0.197262368295888
2018-01-18,135,67,94,188,0.4962962962962963,0.6962962962962963,1.3925925925925926,0.0570701726257282,0.232045721767944
2018-01-19,49,11,20,47,0.22448979591836735,0.40816326530612246,0.9591836734693877,0.042723149866007,0.237216553287982
2018-01-21,46,45,41,83,0.9782608695652174,0.8913043478260869,1.8043478260869565,0.0185496267018006,0.194551493192798
2018-01-22,105,100,79,80,0.9523809523809523,0.7523809523809524,0.7619047619047619,0.0493314093314093,0.24998471105614
2018-01-23,102,128,72,95,1.2549019607843137,0.7058823529411765,0.9313725490196079,0.056144604306369,0.223523045581869
2018-01-24,108,94,63,129,0.8703703703703703,0.5833333333333334,1.1944444444444444,0.0431168831168831,0.232009045481268
2018-01-25,90,44,50,114,0.4888888888888889,0.5555555555555556,1.2666666666666666,0.0316593915343915,0.202133597883598
2018-01-26,93,146,43,117,1.5698924731182795,0.46236559139784944,1.2580645161290323,-0.0117464972303682,0.145942140296979
2018-01-27,38,46,54,79,1.2105263157894737,1.4210526315789473,2.0789473684210527,0.0176236044657097,0.150996810207337
2018-01-28,58,32,54,92,0.5517241379310345,0.9310344827586207,1.5862068965517242,0.043074526048664,0.316135803851321
2018-01-29,81,97,62,112,1.1975308641975309,0.7654320987654321,1.382716049382716,0.0794647088165607,0.213656316248909
2018-01-30,108,113,58,106,1.0462962962962963,0.5370370370370371,0.9814814814814815,0.0430851838490727,0.21476714900326
2018-01-31,83,81,43,105,0.9759036144578314,0.5180722891566265,1.2650602409638554,0.00190958639753821,0.218396747161807
2018-02-01,116,73,83,164,0.6293103448275862,0.7155172413793104,1.4137931034482758,-0.0401005125143056,0.253320769269045
2018-02-02,135,81,71,137,0.6,0.5259259259259259,1.0148148148148148,-0.0438670701726257,0.32260531238309
2018-02-03,55,22,38,84,0.4,0.6909090909090909,1.5272727272727273,-0.0918135904499541,0.333996786042241
2018-02-04,40,14,29,78,0.35,0.725,1.95,0.0111474116161616,0.185306186868687
2018-02-05,165,131,61,102,0.793939393939394,0.3696969696969697,0.6181818181818182,0.0606989629338114,0.246080410891017
2018-02-06,141,102,64,138,0.723404255319149,0.45390070921985815,0.9787234042553191,0.0275715616141148,0.230939460460737
2018-02-07,94,83,81,149,0.8829787234042553,0.8617021276595744,1.5851063829787233,0.0534888397654355,0.239644776027755
2018-02-08,72,73,52,99,1.0138888888888888,0.7222222222222222,1.375,0.0165930134680135,0.154692760942761
2018-02-09,70,73,49,84,1.042857142857143,0.7,1.2,0.0749062049062049,0.187063492063492
2018-02-10,26,76,20,48,2.923076923076923,0.7692307692307693,1.8461538461538463,-0.041474358974359,0.246602564102564
2018-02-11,47,150,29,57,3.1914893617021276,0.6170212765957447,1.2127659574468086,0.0374746707193516,0.222644376899696
2018-02-12,274,337,73,116,1.22992700729927,0.2664233576642336,0.4233576642335766,0.0457967184883243,0.176226630222981
2018-02-13,79,103,21,43,1.3037974683544304,0.26582278481012656,0.5443037974683544,0.0307530549619157,0.142162584251192
2018-02-14,35,27,14,33,0.7714285714285715,0.4,0.9428571428571428,0.05054329004329,0.253612554112554
2018-02-15,75,35,48,59,0.4666666666666667,0.64,0.7866666666666666,0.00652929292929293,0.259349494949495
2018-02-16,39,5,15,30,0.1282051282051282,0.38461538461538464,0.7692307692307693,0.0636998186998187,0.272900155400155
2018-02-17,28,7,73,130,0.25,2.607142857142857,4.642857142857143,0.0697040558647701,0.286858379715523
2018-02-18,56,14,57,82,0.25,1.0178571428571428,1.4642857142857142,0.0577123917748918,0.236308170995671
2018-02-19,93,16,73,89,0.17204301075268819,0.7849462365591398,0.956989247311828,0.0587836506384894,0.242517998727676
2018-02-20,165,28,84,120,0.1696969696969697,0.509090909090909,0.7272727272727273,0.0504219503840716,0.286564417625024
2018-02-21,172,28,82,119,0.16279069767441862,0.47674418604651164,0.6918604651162791,0.0492265596160945,0.271265203949797
