day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,10,3,1,1,0.3,0.1,0.1,-0.0325,0.139166666666667
2018-01-02,10,2,0,0,0.2,0.0,0.0,0.0709848484848485,0.181893939393939
2018-01-03,10,3,0,4,0.3,0.0,0.4,0.0836363636363636,0.178787878787879
2018-01-04,10,2,2,3,0.2,0.2,0.3,0.0577272727272727,0.184545454545455
2018-01-05,10,0,0,1,0.0,0.0,0.1,0.00363636363636363,0.104621212121212
2018-01-06,10,1,3,2,0.1,0.3,0.2,0.00863636363636363,0.312418831168831
2018-01-07,10,0,0,2,0.0,0.0,0.2,0.00613636363636364,0.150454545454545
2018-01-08,10,1,0,2,0.1,0.0,0.2,0.0368181818181818,0.0527272727272727
2018-01-09,10,0,0,0,0.0,0.0,0.0,0.0522727272727273,0.200909090909091
2018-01-10,9,1,2,3,0.1111111111111111,0.2222222222222222,0.3333333333333333,-0.0925925925925926,0.282407407407407
2018-01-11,10,2,0,1,0.2,0.0,0.1,0.0386363636363636,0.0787878787878788
2018-01-12,10,6,2,4,0.6,0.2,0.4,-0.01,0.11
2018-01-13,10,10,3,3,1.0,0.3,0.3,0.00946969696969697,0.153787878787879
2018-01-14,10,9,2,2,0.9,0.2,0.2,-0.0263636363636364,0.353787878787879
2018-01-15,10,5,0,1,0.5,0.0,0.1,0.11459595959596,0.26050505050505
2018-01-16,10,7,1,2,0.7,0.1,0.2,0.07,0.253333333333333
2018-01-17,9,7,1,0,0.7777777777777778,0.1111111111111111,0.0,0.0244107744107744,0.111616161616162
2018-01-18,10,18,1,2,1.8,0.1,0.2,0.0990808080808081,0.381676767676768
2018-01-19,10,11,0,1,1.1,0.0,0.1,0.123,0.21625
2018-01-20,10,12,1,5,1.2,0.1,0.5,0.0736363636363636,0.395454545454545
2018-01-21,10,16,2,2,1.6,0.2,0.2,-0.0274305555555556,0.118888888888889
2018-01-22,10,16,1,1,1.6,0.1,0.1,0.064047619047619,0.16422619047619
2018-01-23,10,13,1,3,1.3,0.1,0.3,0.0309090909090909,0.196363636363636
2018-01-24,10,3,1,1,0.3,0.1,0.1,0.05,0.12
2018-01-25,10,5,1,1,0.5,0.1,0.1,0.12,0.17
2018-01-26,10,0,1,3,0.0,0.1,0.3,0.055,0.18
2018-01-27,9,29,2,2,3.2222222222222223,0.2222222222222222,0.2222222222222222,-0.0166666666666667,0.0666666666666667
2018-01-28,10,0,4,1,0.0,0.4,0.1,-0.0181818181818182,0.0377272727272727
2018-01-29,10,7,4,4,0.7,0.4,0.4,0.128333333333333,0.276111111111111
2018-01-30,10,5,2,2,0.5,0.2,0.2,0.0259090909090909,0.0463636363636364
2018-02-01,10,11,0,2,1.1,0.0,0.2,0.0426767676767677,0.132626262626263
2018-02-02,10,16,0,0,1.6,0.0,0.0,0.0533333333333333,0.153333333333333
2018-02-03,10,0,4,4,0.0,0.4,0.4,-0.00482142857142857,0.286369047619048
2018-02-04,10,4,1,1,0.4,0.1,0.1,0.0733333333333333,0.135416666666667
2018-02-05,10,5,3,2,0.5,0.3,0.2,0.121577380952381,0.21297619047619
2018-02-06,10,11,2,2,1.1,0.2,0.2,-0.00765151515151515,0.167575757575758
2018-02-07,10,16,4,6,1.6,0.4,0.6,0.0686565656565657,0.207707070707071
2018-02-08,10,18,1,1,1.8,0.1,0.1,0.0159722222222222,0.143194444444444
2018-02-09,10,21,2,0,2.1,0.2,0.0,0.0314285714285714,0.0692857142857143
2018-02-10,10,54,4,2,5.4,0.4,0.2,-0.0586363636363636,0.157272727272727
2018-02-11,10,61,3,2,6.1,0.3,0.2,0.0286363636363636,0.125454545454545
2018-02-12,10,18,0,0,1.8,0.0,0.0,0.0,0.106666666666667
2018-02-13,10,20,3,0,2.0,0.3,0.0,-0.0340963203463204,0.398549783549784
2018-02-14,10,9,1,1,0.9,0.1,0.1,0.0116666666666667,0.144880952380952
2018-02-15,10,1,2,4,0.1,0.2,0.4,-0.105,0.406666666666667
2018-02-16,9,0,3,1,0.0,0.3333333333333333,0.1111111111111111,0.210493827160494,0.332098765432099
2018-02-17,10,0,3,1,0.0,0.3,0.1,0.00681818181818182,0.304393939393939
2018-02-18,9,0,4,2,0.0,0.4444444444444444,0.2222222222222222,0.0500721500721501,0.109235209235209
2018-02-19,10,0,2,1,0.0,0.2,0.1,0.015,0.0483333333333333
2018-02-20,10,0,3,3,0.0,0.3,0.3,0.0175,0.10875
2018-02-21,10,0,3,0,0.0,0.3,0.0,0.0689285714285714,0.206785714285714
2018-02-22,10,0,3,1,0.0,0.3,0.1,-0.0256818181818182,0.0802272727272727
2018-02-23,10,0,6,4,0.0,0.6,0.4,0.08495670995671,0.366839826839827
2018-02-24,10,0,7,1,0.0,0.7,0.1,-0.00125,0.295
2018-02-25,10,0,7,1,0.0,0.7,0.1,-0.1775,0.306666666666667
2018-02-26,10,1,6,1,0.1,0.6,0.1,0.08,0.103333333333333
2018-02-27,10,0,6,3,0.0,0.6,0.3,0.0477777777777778,0.170277777777778
2018-02-28,9,0,1,2,0.0,0.1111111111111111,0.2222222222222222,-0.0222222222222222,0.0444444444444444
2018-03-01,10,1,4,6,0.1,0.4,0.6,0.0604444444444444,0.154138888888889
2018-03-02,10,2,1,1,0.2,0.1,0.1,-0.00212121212121212,0.121818181818182
2018-03-03,7,1,0,0,0.14285714285714285,0.0,0.0,0.161402288188002,0.460938466295609
2018-03-04,10,0,1,4,0.0,0.1,0.4,0.0473863636363636,0.235454545454545
2018-03-05,10,2,0,3,0.2,0.0,0.3,-0.0525,0.19
2018-03-06,10,1,0,0,0.1,0.0,0.0,0.0170833333333333,0.205833333333333
