day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-07-05,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-06,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-07,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-08,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-20,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-23,30,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-24,20,1,1,3,0.05,0.05,0.15,0.0,0.0
2018-07-25,20,1,3,9,0.05,0.15,0.45,0.0,0.0
2018-07-26,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-27,20,0,5,9,0.0,0.25,0.45,0.0,0.0
2018-07-28,20,0,0,2,0.0,0.0,0.1,0.0,0.0
2018-07-29,20,0,0,3,0.0,0.0,0.15,0.0,0.0
2018-07-30,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-31,20,0,0,2,0.0,0.0,0.1,0.0,0.0
2018-08-01,20,0,0,2,0.0,0.0,0.1,0.0,0.0
2018-08-02,20,0,1,3,0.0,0.05,0.15,0.0,0.0
2018-08-03,20,0,0,1,0.0,0.0,0.05,0.0,0.0
2018-08-04,20,0,1,2,0.0,0.05,0.1,0.0,0.0
2018-08-05,20,0,0,3,0.0,0.0,0.15,0.0,0.0
2018-08-06,20,0,0,4,0.0,0.0,0.2,0.0,0.0
2018-08-07,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-08,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-09,20,0,1,4,0.0,0.05,0.2,0.0,0.0
2018-08-10,20,0,0,1,0.0,0.0,0.05,0.0,0.0
2018-08-11,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-12,20,0,0,2,0.0,0.0,0.1,0.0,0.0
2018-08-13,20,0,0,1,0.0,0.0,0.05,0.0,0.0
2018-08-14,20,1,0,4,0.05,0.0,0.2,0.0,0.0
2018-08-15,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-16,20,0,0,7,0.0,0.0,0.35,0.0,0.0
2018-08-17,20,0,1,3,0.0,0.05,0.15,0.0,0.0
2018-08-18,20,0,1,3,0.0,0.05,0.15,0.0,0.0
2018-08-19,20,0,1,3,0.0,0.05,0.15,0.0,0.0
2018-08-20,20,0,2,6,0.0,0.1,0.3,0.0,0.0
2018-08-21,20,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-22,20,0,0,0,0.0,0.0,0.0,0.0,0.0
