day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-05,34,1,0,4,0.029411764705882353,0.0,0.11764705882352941,0.0,0.0
2018-01-06,49,0,3,3,0.0,0.061224489795918366,0.061224489795918366,0.0,0.0
2018-01-07,48,3,1,11,0.0625,0.020833333333333332,0.22916666666666666,0.0,0.0
2018-01-08,49,9,0,0,0.1836734693877551,0.0,0.0,0.0,0.0
2018-01-09,49,20,0,3,0.40816326530612246,0.0,0.061224489795918366,0.0,0.0
2018-01-10,49,72,1,4,1.469387755102041,0.02040816326530612,0.08163265306122448,0.0,0.0
2018-01-11,48,26,1,5,0.5416666666666666,0.020833333333333332,0.10416666666666667,0.0,0.0
2018-01-12,49,37,0,21,0.7551020408163265,0.0,0.42857142857142855,0.0,0.0
2018-01-13,49,26,0,3,0.5306122448979592,0.0,0.061224489795918366,0.0,0.0
2018-01-14,48,6,10,3,0.125,0.20833333333333334,0.0625,0.0,0.0
2018-01-15,48,13,10,4,0.2708333333333333,0.20833333333333334,0.08333333333333333,0.0,0.0
2018-01-16,48,62,2,5,1.2916666666666667,0.041666666666666664,0.10416666666666667,0.0,0.0
2018-01-17,49,116,0,11,2.36734693877551,0.0,0.22448979591836735,0.0,0.0
2018-01-18,48,163,1,4,3.3958333333333335,0.020833333333333332,0.08333333333333333,0.0,0.0
2018-01-19,49,83,0,0,1.6938775510204083,0.0,0.0,0.0,0.0
2018-01-20,48,39,5,5,0.8125,0.10416666666666667,0.10416666666666667,0.0,0.0
2018-01-21,49,71,1,1,1.4489795918367347,0.02040816326530612,0.02040816326530612,0.0,0.0
2018-01-22,49,616,0,2,12.571428571428571,0.0,0.04081632653061224,0.0,0.0
2018-01-23,49,660,0,7,13.46938775510204,0.0,0.14285714285714285,0.0,0.0
2018-01-24,48,196,2,6,4.083333333333333,0.041666666666666664,0.125,0.0,0.0
2018-01-25,49,328,0,5,6.6938775510204085,0.0,0.10204081632653061,0.0,0.0
2018-01-26,48,270,0,4,5.625,0.0,0.08333333333333333,0.0,0.0
2018-01-27,49,273,1,3,5.571428571428571,0.02040816326530612,0.061224489795918366,0.0,0.0
2018-01-28,49,284,0,7,5.795918367346939,0.0,0.14285714285714285,0.0,0.0
2018-01-29,48,347,0,7,7.229166666666667,0.0,0.14583333333333334,0.0,0.0
