day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-21,4,0,2,2,0.0,0.5,0.5,0.0,0.0
2018-01-22,2,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-01-23,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-01-25,1,0,2,1,0.0,2.0,1.0,0.0,0.0
2018-01-26,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-01-28,3,0,1,0,0.0,0.3333333333333333,0.0,0.0,0.0
2018-01-30,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-01,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-03,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-04,2,0,2,0,0.0,1.0,0.0,0.0,0.0
2018-02-05,3,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-06,1,0,1,0,0.0,1.0,0.0,0.0,0.0
2018-02-07,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-11,1,0,1,0,0.0,1.0,0.0,0.0,0.0
2018-02-13,1,0,3,1,0.0,3.0,1.0,0.0,0.0
2018-02-15,2,0,1,1,0.0,0.5,0.5,0.0,0.0
2018-02-17,1,0,2,2,0.0,2.0,2.0,0.0,0.0
2018-02-18,1,1,2,2,1.0,2.0,2.0,0.0,0.0
2018-02-19,1,1,0,0,1.0,0.0,0.0,0.0,0.0
2018-02-20,1,0,1,2,0.0,1.0,2.0,0.0,0.0
2018-02-21,1,0,1,2,0.0,1.0,2.0,0.2,0.3
2018-02-23,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-26,2,0,1,0,0.0,0.5,0.0,0.0,0.0
2018-03-01,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-03-02,1,25,14,30,25.0,14.0,30.0,0.0,0.0
2018-03-03,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-03-06,1,0,1,0,0.0,1.0,0.0,0.0,0.0
2018-03-08,1,2,0,0,2.0,0.0,0.0,0.0,0.0
2018-03-09,1,0,1,1,0.0,1.0,1.0,0.25,0.25
2018-03-12,1,0,0,0,0.0,0.0,0.0,0.25,0.25
2018-04-03,1,0,0,2,0.0,0.0,2.0,0.0,0.0
2018-04-12,1,0,0,1,0.0,0.0,1.0,0.0,0.0
2018-04-17,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-05-05,2,1,4,3,0.5,2.0,1.5,0.0,0.0
2018-05-09,1,0,0,1,0.0,0.0,1.0,0.0,0.0
2018-05-11,1,2,1,1,2.0,1.0,1.0,0.0,0.0
2018-05-16,1,0,0,1,0.0,0.0,1.0,0.0,0.0
2018-05-17,1,1,3,3,1.0,3.0,3.0,0.0,0.0
2018-05-25,1,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-05-31,1,0,0,1,0.0,0.0,1.0,0.0,0.0
2018-06-06,1,0,0,1,0.0,0.0,1.0,0.0,0.0
