day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,33,2,0,3,0.06060606060606061,0.0,0.09090909090909091,0.269152236652237,0.438848003848004
2018-01-02,27,0,2,9,0.0,0.07407407407407407,0.3333333333333333,0.230175164341831,0.410537918871252
2018-01-03,34,3,4,8,0.08823529411764706,0.11764705882352941,0.23529411764705882,0.286701680672269,0.442435807656396
2018-01-04,35,2,5,10,0.05714285714285714,0.14285714285714285,0.2857142857142857,0.293654761904762,0.429420634920635
2018-01-05,36,0,0,5,0.0,0.0,0.1388888888888889,0.240426587301587,0.429839065255732
2018-01-06,33,2,1,7,0.06060606060606061,0.030303030303030304,0.21212121212121213,0.285894660894661,0.439411976911977
2018-01-07,35,3,2,9,0.08571428571428572,0.05714285714285714,0.2571428571428571,0.265238095238095,0.439523809523809
2018-01-08,34,0,0,3,0.0,0.0,0.08823529411764706,0.299522058823529,0.431119281045751
2018-01-09,32,2,2,4,0.0625,0.0625,0.125,0.3185546875,0.433767361111111
2018-01-10,33,1,0,2,0.030303030303030304,0.0,0.06060606060606061,0.27790404040404,0.436784511784512
2018-01-11,34,1,1,3,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.270807072829132,0.416153127917834
2018-01-12,32,1,2,4,0.03125,0.0625,0.125,0.2796875,0.443012152777778
2018-01-13,32,0,6,3,0.0,0.1875,0.09375,0.279296875,0.443506944444444
2018-01-14,33,0,2,4,0.0,0.06060606060606061,0.12121212121212122,0.314924242424242,0.446102693602694
2018-01-15,35,0,0,2,0.0,0.0,0.05714285714285714,0.306630952380952,0.437238095238095
2018-01-16,32,1,0,0,0.03125,0.0,0.0,0.3234375,0.435416666666667
2018-01-17,32,0,1,10,0.0,0.03125,0.3125,0.2751953125,0.436979166666666
2018-01-18,33,0,1,6,0.0,0.030303030303030304,0.18181818181818182,0.314393939393939,0.430850168350168
2018-01-19,32,1,0,3,0.03125,0.0,0.09375,0.315625,0.420833333333333
2018-01-20,34,1,0,3,0.029411764705882353,0.0,0.08823529411764706,0.300122549019608,0.450816993464052
2018-01-21,32,1,0,4,0.03125,0.0,0.125,0.2890625,0.431423611111111
2018-01-22,32,0,1,2,0.0,0.03125,0.0625,0.31484375,0.432682291666667
2018-01-23,33,0,1,10,0.0,0.030303030303030304,0.30303030303030304,0.268333333333333,0.440925925925926
2018-01-24,33,4,3,19,0.12121212121212122,0.09090909090909091,0.5757575757575758,0.316617965367965,0.428003848003848
2018-01-25,33,2,1,3,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.292424242424242,0.428872053872054
2018-01-26,32,3,1,22,0.09375,0.03125,0.6875,0.3046875,0.439453125
2018-01-27,32,4,1,3,0.125,0.03125,0.09375,0.333984375,0.427517361111111
2018-01-28,32,1,1,9,0.03125,0.03125,0.28125,0.311875,0.426666666666667
2018-01-29,32,0,2,5,0.0,0.0625,0.15625,0.27453125,0.440824652777778
2018-01-30,33,2,5,10,0.06060606060606061,0.15151515151515152,0.30303030303030304,0.330871212121212,0.442592592592592
2018-01-31,34,1,2,3,0.029411764705882353,0.058823529411764705,0.08823529411764706,0.281004901960784,0.440114379084967
2018-02-01,33,1,3,19,0.030303030303030304,0.09090909090909091,0.5757575757575758,0.284834054834055,0.433814333814334
2018-02-02,32,0,2,11,0.0,0.0625,0.34375,0.2859375,0.434635416666667
2018-02-03,33,3,5,6,0.09090909090909091,0.15151515151515152,0.18181818181818182,0.26780303030303,0.440319865319865
2018-02-04,33,1,5,5,0.030303030303030304,0.15151515151515152,0.15151515151515152,0.275871212121212,0.430117845117845
2018-02-05,34,0,5,19,0.0,0.14705882352941177,0.5588235294117647,0.314583333333333,0.443831699346405
2018-02-06,32,0,4,13,0.0,0.125,0.40625,0.2978515625,0.437586805555555
2018-02-07,34,0,6,3,0.0,0.17647058823529413,0.08823529411764706,0.308000700280112,0.447280578898226
2018-02-08,40,0,8,2,0.0,0.2,0.05,0.282323908730159,0.434310515873016
2018-02-09,35,0,4,9,0.0,0.11428571428571428,0.2571428571428571,0.265391156462585,0.41858843537415
2018-02-10,35,0,6,4,0.0,0.17142857142857143,0.11428571428571428,0.286630952380952,0.433111111111111
2018-02-11,33,4,2,5,0.12121212121212122,0.06060606060606061,0.15151515151515152,0.306818181818182,0.41986531986532
2018-02-12,37,3,5,10,0.08108108108108109,0.13513513513513514,0.2702702702702703,0.268479193479193,0.424983912483912
2018-02-13,32,5,3,4,0.15625,0.09375,0.125,0.282890625,0.423828125
2018-02-14,32,0,4,3,0.0,0.125,0.09375,0.3275,0.450581597222222
2018-02-15,32,1,1,3,0.03125,0.03125,0.09375,0.24296875,0.420486111111111
2018-02-16,36,1,4,7,0.027777777777777776,0.1111111111111111,0.19444444444444445,0.252141203703704,0.43587962962963
2018-02-17,36,6,3,3,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.296990740740741,0.435030864197531
2018-02-18,34,7,9,9,0.20588235294117646,0.2647058823529412,0.2647058823529412,0.289583333333333,0.416911764705882
2018-02-19,34,4,3,3,0.11764705882352941,0.08823529411764706,0.08823529411764706,0.315073529411765,0.436478758169935
2018-02-20,33,1,4,9,0.030303030303030304,0.12121212121212122,0.2727272727272727,0.30239898989899,0.425462962962963
2018-02-21,33,1,1,5,0.030303030303030304,0.030303030303030304,0.15151515151515152,0.302752525252525,0.437205387205387
2018-02-22,32,0,3,4,0.0,0.09375,0.125,0.30234375,0.437239583333333
