day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-08-28,13,1,1,6,0.07692307692307693,0.07692307692307693,0.46153846153846156,0.0,0.0
2018-08-29,16,1,2,7,0.0625,0.125,0.4375,0.0,0.0
2018-08-30,19,0,3,3,0.0,0.15789473684210525,0.15789473684210525,0.0,0.0
2018-08-31,22,5,0,5,0.22727272727272727,0.0,0.22727272727272727,0.0,0.0
2018-09-01,21,0,0,2,0.0,0.0,0.09523809523809523,0.0,0.0
2018-09-02,24,0,0,5,0.0,0.0,0.20833333333333334,0.0,0.0
2018-09-03,24,1,0,0,0.041666666666666664,0.0,0.0,0.0,0.0
2018-09-04,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-05,23,1,0,3,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0
2018-09-06,24,2,0,0,0.08333333333333333,0.0,0.0,0.0,0.0
2018-09-07,24,0,0,3,0.0,0.0,0.125,0.0,0.0
2018-09-08,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-09,24,0,0,5,0.0,0.0,0.20833333333333334,0.0,0.0
2018-09-10,24,0,1,10,0.0,0.041666666666666664,0.4166666666666667,0.0,0.0
2018-09-11,24,0,0,5,0.0,0.0,0.20833333333333334,0.0,0.0
2018-09-12,24,1,4,17,0.041666666666666664,0.16666666666666666,0.7083333333333334,0.0,0.0
2018-09-13,23,0,1,14,0.0,0.043478260869565216,0.6086956521739131,0.0,0.0
2018-09-14,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-15,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-16,24,0,0,14,0.0,0.0,0.5833333333333334,0.0,0.0
2018-09-17,24,1,0,1,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0
2018-09-18,24,0,1,0,0.0,0.041666666666666664,0.0,0.0,0.0
2018-09-19,24,1,1,3,0.041666666666666664,0.041666666666666664,0.125,0.0,0.0
2018-09-20,23,0,0,2,0.0,0.0,0.08695652173913043,0.0,0.0
2018-09-21,23,3,0,4,0.13043478260869565,0.0,0.17391304347826086,0.0,0.0
2018-09-22,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-23,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-24,24,0,0,1,0.0,0.0,0.041666666666666664,0.0,0.0
2018-09-25,24,1,0,8,0.041666666666666664,0.0,0.3333333333333333,0.0,0.0
2018-09-26,24,0,0,4,0.0,0.0,0.16666666666666666,0.0,0.0
2018-09-27,24,0,0,2,0.0,0.0,0.08333333333333333,0.0,0.0
2018-09-28,24,1,0,5,0.041666666666666664,0.0,0.20833333333333334,0.0,0.0
2018-09-29,23,11,0,6,0.4782608695652174,0.0,0.2608695652173913,0.0,0.0
2018-09-30,24,0,0,5,0.0,0.0,0.20833333333333334,0.0,0.0
2018-10-01,24,1,1,4,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.0,0.0
2018-10-02,21,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-10-03,24,0,0,3,0.0,0.0,0.125,0.0,0.0
2018-10-04,23,1,0,6,0.043478260869565216,0.0,0.2608695652173913,0.0,0.0
