day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,34,0,0,0,0.0,0.0,0.0,0.15202614379085,0.464640522875817
2018-01-02,15,0,0,0,0.0,0.0,0.0,0.075,0.161111111111111
2018-01-03,20,0,6,7,0.0,0.3,0.35,0.17375,0.294166666666667
2018-01-04,15,0,0,0,0.0,0.0,0.0,0.0522222222222223,0.500740740740741
2018-01-05,9,0,0,0,0.0,0.0,0.0,0.380740740740741,0.747654320987654
2018-01-06,7,0,1,1,0.0,0.14285714285714285,0.14285714285714285,0.438095238095238,0.826984126984127
2018-01-08,2,0,0,0,0.0,0.0,0.0,0.45,0.85
2018-01-09,6,0,0,0,0.0,0.0,0.0,0.133333333333333,0.266666666666667
2018-01-10,6,0,0,0,0.0,0.0,0.0,0.133333333333333,0.266666666666667
2018-01-11,7,0,0,1,0.0,0.0,0.14285714285714285,0.228571428571429,0.428571428571429
2018-01-12,2,0,0,0,0.0,0.0,0.0,0.4,0.8
2018-01-13,10,0,0,0,0.0,0.0,0.0,0.04,0.08
2018-01-14,1,0,0,0,0.0,0.0,0.0,0.2,0.4
2018-01-15,5,0,0,0,0.0,0.0,0.0,0.12,0.24
2018-01-16,6,0,0,0,0.0,0.0,0.0,0.0375,0.3875
2018-01-17,3,0,0,0,0.0,0.0,0.0,0.355555555555556,0.651851851851852
2018-01-18,7,0,0,0,0.0,0.0,0.0,0.414285714285714,0.471428571428571
2018-01-19,21,0,1,1,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0
2018-01-20,15,0,0,4,0.0,0.0,0.26666666666666666,0.0533333333333333,0.106666666666667
2018-01-21,17,0,0,3,0.0,0.0,0.17647058823529413,0.0235294117647059,0.0470588235294118
2018-01-22,17,0,1,0,0.0,0.058823529411764705,0.0,0.296862745098039,0.543823529411765
2018-01-23,17,0,0,3,0.0,0.0,0.17647058823529413,0.0780525846702317,0.177005347593583
2018-01-24,27,10,0,2,0.37037037037037035,0.0,0.07407407407407407,0.214814814814815,0.252469135802469
2018-01-25,5,1,0,0,0.2,0.0,0.0,0.0,0.133333333333333
2018-01-26,6,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-01-27,16,1,0,2,0.0625,0.0,0.125,0.232135416666667,0.49234375
2018-01-29,7,0,0,1,0.0,0.0,0.14285714285714285,0.142857142857143,0.142857142857143
2018-01-31,5,0,0,0,0.0,0.0,0.0,0.4,0.12
2018-02-01,2,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-02,15,0,0,0,0.0,0.0,0.0,0.1,0.1
2018-02-03,6,0,0,0,0.0,0.0,0.0,-0.0625,0.375
2018-02-04,4,0,0,0,0.0,0.0,0.0,0.0625,0.0833333333333333
2018-02-05,15,0,1,1,0.0,0.06666666666666667,0.06666666666666667,-0.0655555555555556,0.208888888888889
2018-02-06,5,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-07,2,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-08,4,0,0,0,0.0,0.0,0.0,0.0916666666666667,0.260416666666667
2018-02-09,1,0,0,0,0.0,0.0,0.0,0.4,0.9
2018-02-11,9,0,0,0,0.0,0.0,0.0,0.161111111111111,0.264814814814815
2018-02-12,16,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-13,15,0,0,1,0.0,0.0,0.06666666666666667,0.0866666666666667,0.135555555555556
2018-02-14,8,0,0,0,0.0,0.0,0.0,0.125,0.125
2018-02-15,10,0,0,1,0.0,0.0,0.1,0.46,0.823333333333333
2018-02-16,2,0,0,0,0.0,0.0,0.0,0.4,0.8
2018-02-17,9,1,0,3,0.1111111111111111,0.0,0.3333333333333333,0.55959595959596,0.816666666666667
2018-02-18,4,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-02-19,8,1,0,0,0.125,0.0,0.0,0.325,0.65
2018-02-20,8,0,0,0,0.0,0.0,0.0,0.525,0.4125
2018-02-21,5,0,0,0,0.0,0.0,0.0,-0.04,0.453333333333333
2018-02-22,3,0,0,0,0.0,0.0,0.0,-0.4,0.7
2018-02-23,1,0,0,0,0.0,0.0,0.0,-0.5,0.5
