day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,36,0,8,13,0.0,0.2222222222222222,0.3611111111111111,0.105829124579125,0.2526920995671
2018-01-02,45,1,15,16,0.022222222222222223,0.3333333333333333,0.35555555555555557,0.104444444444444,0.201388888888889
2018-01-03,36,1,9,11,0.027777777777777776,0.25,0.3055555555555556,0.0968827270096801,0.189960618085618
2018-01-04,38,1,7,7,0.02631578947368421,0.18421052631578946,0.18421052631578946,0.122525262908692,0.295592674868991
2018-01-05,40,2,11,18,0.05,0.275,0.45,0.102613636363636,0.155691287878788
2018-01-06,44,1,15,14,0.022727272727272728,0.3409090909090909,0.3181818181818182,0.14464303008781,0.246883608815427
2018-01-07,32,1,11,19,0.03125,0.34375,0.59375,0.0581202651515152,0.170085903679654
2018-01-08,40,2,10,14,0.05,0.25,0.35,0.0985795454545455,0.185785984848485
2018-01-09,37,2,14,7,0.05405405405405406,0.3783783783783784,0.1891891891891892,0.0837196393837019,0.201554639054639
2018-01-10,39,2,7,10,0.05128205128205128,0.1794871794871795,0.2564102564102564,0.160722610722611,0.189695027195027
2018-01-11,42,3,10,6,0.07142857142857142,0.23809523809523808,0.14285714285714285,0.0753403172348485,0.231528293135436
2018-01-12,30,0,5,7,0.0,0.16666666666666666,0.23333333333333334,0.0812592724116162,0.180353535353535
2018-01-13,39,2,13,17,0.05128205128205128,0.3333333333333333,0.4358974358974359,0.15456487956488,0.271667221667222
2018-01-14,34,1,10,17,0.029411764705882353,0.29411764705882354,0.5,0.134890088848039,0.29546568627451
2018-01-15,39,3,8,13,0.07692307692307693,0.20512820512820512,0.3333333333333333,0.0718725718725719,0.175086025086025
2018-01-16,47,7,17,17,0.14893617021276595,0.3617021276595745,0.3617021276595745,0.101932095220825,0.196333010960671
2018-01-17,34,1,5,10,0.029411764705882353,0.14705882352941177,0.29411764705882354,0.127495543672014,0.209870766488414
2018-01-18,36,2,8,11,0.05555555555555555,0.2222222222222222,0.3055555555555556,0.0933291245791246,0.217821067821068
2018-01-19,37,1,13,11,0.02702702702702703,0.35135135135135137,0.2972972972972973,0.0785394592035217,0.219041769041769
2018-01-20,38,2,22,16,0.05263157894736842,0.5789473684210527,0.42105263157894735,0.144118819776715,0.207265322396901
2018-01-21,412,67,84,119,0.16262135922330098,0.20388349514563106,0.28883495145631066,0.112795777535234,0.307966689010378
