day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-08-07,21,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-08,40,0,1,7,0.0,0.025,0.175,0.0,0.0
2018-08-09,48,1,2,6,0.020833333333333332,0.041666666666666664,0.125,0.0,0.0
2018-08-10,51,1,3,4,0.0196078431372549,0.058823529411764705,0.0784313725490196,0.0,0.0
2018-08-11,1,0,0,2,0.0,0.0,2.0,0.0,0.0
2018-08-12,7,0,3,1,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0
2018-08-13,48,0,6,21,0.0,0.125,0.4375,0.0,0.0
2018-08-14,43,1,4,11,0.023255813953488372,0.09302325581395349,0.2558139534883721,0.0,0.0
2018-08-15,46,2,5,10,0.043478260869565216,0.10869565217391304,0.21739130434782608,0.0,0.0
2018-08-16,41,0,1,10,0.0,0.024390243902439025,0.24390243902439024,0.0,0.0
2018-08-17,34,0,6,20,0.0,0.17647058823529413,0.5882352941176471,0.0,0.0
2018-08-19,8,0,0,8,0.0,0.0,1.0,0.0,0.0
2018-08-20,40,1,7,22,0.025,0.175,0.55,0.0,0.0
2018-08-21,36,1,2,17,0.027777777777777776,0.05555555555555555,0.4722222222222222,0.0,0.0
2018-08-22,44,0,3,11,0.0,0.06818181818181818,0.25,0.0,0.0
2018-08-23,50,0,2,6,0.0,0.04,0.12,0.0,0.0
2018-08-24,38,0,2,3,0.0,0.05263157894736842,0.07894736842105263,0.0,0.0
2018-08-25,3,0,1,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
2018-08-26,11,0,2,2,0.0,0.18181818181818182,0.18181818181818182,0.0,0.0
2018-08-27,41,0,5,13,0.0,0.12195121951219512,0.3170731707317073,0.0,0.0
2018-08-28,41,0,5,20,0.0,0.12195121951219512,0.4878048780487805,0.0,0.0
2018-08-29,47,3,29,28,0.06382978723404255,0.6170212765957447,0.5957446808510638,0.0,0.0
2018-08-30,54,1,21,31,0.018518518518518517,0.3888888888888889,0.5740740740740741,0.0,0.0
2018-08-31,52,2,6,18,0.038461538461538464,0.11538461538461539,0.34615384615384615,0.0,0.0
2018-09-01,20,0,0,3,0.0,0.0,0.15,0.0,0.0
2018-09-02,44,0,9,7,0.0,0.20454545454545456,0.1590909090909091,0.0,0.0
2018-09-03,50,1,12,13,0.02,0.24,0.26,0.0,0.0
2018-09-04,44,0,8,20,0.0,0.18181818181818182,0.45454545454545453,0.0,0.0
2018-09-05,31,0,2,13,0.0,0.06451612903225806,0.41935483870967744,0.0,0.0
2018-09-06,52,0,6,24,0.0,0.11538461538461539,0.46153846153846156,0.0,0.0
2018-09-07,40,1,9,13,0.025,0.225,0.325,0.0,0.0
2018-09-08,25,0,2,4,0.0,0.08,0.16,0.0,0.0
2018-09-09,28,1,2,1,0.03571428571428571,0.07142857142857142,0.03571428571428571,0.0,0.0
2018-09-10,47,0,5,6,0.0,0.10638297872340426,0.1276595744680851,0.0,0.0
2018-09-11,42,0,1,5,0.0,0.023809523809523808,0.11904761904761904,0.0,0.0
2018-09-12,34,0,2,8,0.0,0.058823529411764705,0.23529411764705882,0.0,0.0
2018-09-13,40,5,3,31,0.125,0.075,0.775,0.0,0.0
2018-09-14,38,0,3,11,0.0,0.07894736842105263,0.2894736842105263,0.0,0.0
2018-09-15,35,2,3,14,0.05714285714285714,0.08571428571428572,0.4,0.0,0.0
2018-09-16,39,0,0,21,0.0,0.0,0.5384615384615384,0.0,0.0
2018-09-17,41,0,8,10,0.0,0.1951219512195122,0.24390243902439024,0.0,0.0
2018-09-18,44,0,15,18,0.0,0.3409090909090909,0.4090909090909091,0.0,0.0
2018-09-19,40,0,2,5,0.0,0.05,0.125,0.0,0.0
2018-09-20,40,0,7,11,0.0,0.175,0.275,0.0,0.0
2018-09-21,38,1,3,14,0.02631578947368421,0.07894736842105263,0.3684210526315789,0.0,0.0
2018-09-22,18,0,0,6,0.0,0.0,0.3333333333333333,0.0,0.0
2018-09-23,24,1,2,5,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.0,0.0
2018-09-24,39,1,4,16,0.02564102564102564,0.10256410256410256,0.41025641025641024,0.0,0.0
2018-09-25,40,0,3,14,0.0,0.075,0.35,0.0,0.0
2018-09-26,40,1,2,9,0.025,0.05,0.225,0.0,0.0
2018-09-27,43,2,3,28,0.046511627906976744,0.06976744186046512,0.6511627906976745,0.0,0.0
2018-09-28,36,0,2,9,0.0,0.05555555555555555,0.25,0.0,0.0
2018-09-29,34,0,2,18,0.0,0.058823529411764705,0.5294117647058824,0.0,0.0
2018-09-30,38,0,0,11,0.0,0.0,0.2894736842105263,0.0,0.0
2018-10-01,42,3,2,15,0.07142857142857142,0.047619047619047616,0.35714285714285715,0.0,0.0
2018-10-02,40,0,1,23,0.0,0.025,0.575,0.0,0.0
2018-10-03,38,0,5,7,0.0,0.13157894736842105,0.18421052631578946,0.0,0.0
2018-10-04,38,0,3,21,0.0,0.07894736842105263,0.5526315789473685,0.0,0.0
2018-10-05,41,0,5,21,0.0,0.12195121951219512,0.5121951219512195,0.0,0.0
2018-10-06,47,0,0,20,0.0,0.0,0.425531914893617,0.0,0.0
2018-10-07,44,0,1,28,0.0,0.022727272727272728,0.6363636363636364,0.0,0.0
2018-10-08,43,0,4,26,0.0,0.09302325581395349,0.6046511627906976,0.0,0.0
2018-10-09,36,0,1,15,0.0,0.027777777777777776,0.4166666666666667,0.0,0.0
2018-10-10,48,0,1,32,0.0,0.020833333333333332,0.6666666666666666,0.0,0.0
2018-10-11,49,0,8,21,0.0,0.16326530612244897,0.42857142857142855,0.0,0.0
2018-10-12,49,0,7,37,0.0,0.14285714285714285,0.7551020408163265,0.0,0.0
2018-10-13,37,0,3,23,0.0,0.08108108108108109,0.6216216216216216,0.0,0.0
2018-10-14,42,1,4,31,0.023809523809523808,0.09523809523809523,0.7380952380952381,0.0,0.0
2018-10-15,44,1,16,27,0.022727272727272728,0.36363636363636365,0.6136363636363636,0.0,0.0
2018-10-16,34,0,9,25,0.0,0.2647058823529412,0.7352941176470589,0.0,0.0
2018-10-17,51,2,15,33,0.0392156862745098,0.29411764705882354,0.6470588235294118,0.0,0.0
2018-10-18,52,1,12,34,0.019230769230769232,0.23076923076923078,0.6538461538461539,0.0,0.0
2018-10-19,41,0,6,20,0.0,0.14634146341463414,0.4878048780487805,0.0,0.0
2018-10-20,19,0,0,12,0.0,0.0,0.631578947368421,0.0,0.0
2018-10-21,31,0,3,21,0.0,0.0967741935483871,0.6774193548387096,0.0,0.0
2018-10-22,35,0,3,17,0.0,0.08571428571428572,0.4857142857142857,0.0,0.0
2018-10-23,48,2,8,17,0.041666666666666664,0.16666666666666666,0.3541666666666667,0.0,0.0
2018-10-24,50,0,4,22,0.0,0.08,0.44,0.0,0.0
2018-10-25,37,1,6,20,0.02702702702702703,0.16216216216216217,0.5405405405405406,0.0,0.0
2018-10-26,36,0,4,19,0.0,0.1111111111111111,0.5277777777777778,0.0,0.0
2018-10-27,22,0,1,18,0.0,0.045454545454545456,0.8181818181818182,0.0,0.0
2018-10-28,33,2,1,23,0.06060606060606061,0.030303030303030304,0.696969696969697,0.0,0.0
2018-10-29,50,0,3,38,0.0,0.06,0.76,0.0,0.0
2018-10-30,49,0,12,23,0.0,0.24489795918367346,0.46938775510204084,0.0,0.0
2018-10-31,44,2,7,30,0.045454545454545456,0.1590909090909091,0.6818181818181818,0.0,0.0
2018-11-01,44,1,8,23,0.022727272727272728,0.18181818181818182,0.5227272727272727,0.0,0.0
2018-11-02,39,0,3,33,0.0,0.07692307692307693,0.8461538461538461,0.0,0.0
2018-11-03,9,0,1,6,0.0,0.1111111111111111,0.6666666666666666,0.0,0.0
2018-11-04,19,0,3,14,0.0,0.15789473684210525,0.7368421052631579,0.0,0.0
2018-11-05,33,1,7,41,0.030303030303030304,0.21212121212121213,1.2424242424242424,0.0,0.0
2018-11-06,43,0,5,20,0.0,0.11627906976744186,0.46511627906976744,0.0,0.0
2018-11-07,40,0,3,17,0.0,0.075,0.425,0.0,0.0
2018-11-08,41,0,1,18,0.0,0.024390243902439025,0.43902439024390244,0.0,0.0
2018-11-09,35,0,0,15,0.0,0.0,0.42857142857142855,0.0,0.0
2018-11-10,10,1,0,7,0.1,0.0,0.7,0.0,0.0
2018-11-11,25,0,1,11,0.0,0.04,0.44,0.0,0.0
2018-11-12,42,0,0,23,0.0,0.0,0.5476190476190477,0.0,0.0
2018-11-13,38,0,0,11,0.0,0.0,0.2894736842105263,0.0,0.0
2018-11-14,40,0,2,16,0.0,0.05,0.4,0.0,0.0
2018-11-15,35,0,3,17,0.0,0.08571428571428572,0.4857142857142857,0.0,0.0
2018-11-16,35,1,0,10,0.02857142857142857,0.0,0.2857142857142857,0.0,0.0
2018-11-17,5,0,0,2,0.0,0.0,0.4,0.0,0.0
2018-11-18,24,0,1,9,0.0,0.041666666666666664,0.375,0.0,0.0
2018-11-19,50,1,1,17,0.02,0.02,0.34,0.0,0.0
2018-11-20,33,2,1,19,0.06060606060606061,0.030303030303030304,0.5757575757575758,0.0,0.0
2018-11-21,48,1,5,20,0.020833333333333332,0.10416666666666667,0.4166666666666667,0.0,0.0
2018-11-22,25,1,5,15,0.04,0.2,0.6,0.0,0.0
2018-11-23,23,0,4,21,0.0,0.17391304347826086,0.9130434782608695,0.0,0.0
2018-11-24,10,0,2,13,0.0,0.2,1.3,0.0,0.0
2018-11-25,18,0,1,14,0.0,0.05555555555555555,0.7777777777777778,0.0,0.0
2018-11-26,32,0,6,22,0.0,0.1875,0.6875,0.0,0.0
2018-11-27,27,0,2,6,0.0,0.07407407407407407,0.2222222222222222,0.0,0.0
2018-11-28,23,1,2,25,0.043478260869565216,0.08695652173913043,1.0869565217391304,0.0,0.0
2018-11-29,23,0,6,21,0.0,0.2608695652173913,0.9130434782608695,0.0,0.0
2018-11-30,26,3,0,20,0.11538461538461539,0.0,0.7692307692307693,0.0,0.0
2018-12-01,8,1,0,5,0.125,0.0,0.625,0.0,0.0
2018-12-02,14,1,0,8,0.07142857142857142,0.0,0.5714285714285714,0.0,0.0
2018-12-03,32,1,3,20,0.03125,0.09375,0.625,0.0,0.0
2018-12-04,31,1,6,35,0.03225806451612903,0.1935483870967742,1.129032258064516,0.0,0.0
2018-12-05,32,0,1,23,0.0,0.03125,0.71875,0.0,0.0
2018-12-06,31,0,0,11,0.0,0.0,0.3548387096774194,0.0,0.0
2018-12-07,32,0,0,24,0.0,0.0,0.75,0.0,0.0
2018-12-08,19,0,1,8,0.0,0.05263157894736842,0.42105263157894735,0.0,0.0
2018-12-09,16,0,0,7,0.0,0.0,0.4375,0.0,0.0
2018-12-10,29,1,2,22,0.034482758620689655,0.06896551724137931,0.7586206896551724,0.0,0.0
2018-12-11,31,0,1,23,0.0,0.03225806451612903,0.7419354838709677,0.0,0.0
2018-12-12,31,0,0,17,0.0,0.0,0.5483870967741935,0.0,0.0
2018-12-13,32,0,0,16,0.0,0.0,0.5,0.0,0.0
