day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-07-03,11,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-04,21,0,1,5,0.0,0.047619047619047616,0.23809523809523808,0.0,0.0
2018-07-05,24,0,0,3,0.0,0.0,0.125,0.0,0.0
2018-07-06,21,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-07,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-08,24,0,0,3,0.0,0.0,0.125,0.0,0.0
2018-07-09,22,0,2,4,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0
2018-07-10,23,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-11,24,0,3,4,0.0,0.125,0.16666666666666666,0.0,0.0
2018-07-12,24,0,0,4,0.0,0.0,0.16666666666666666,0.0,0.0
2018-07-13,23,1,0,13,0.043478260869565216,0.0,0.5652173913043478,0.0,0.0
2018-07-14,24,0,2,8,0.0,0.08333333333333333,0.3333333333333333,0.0,0.0
2018-07-15,24,0,0,1,0.0,0.0,0.041666666666666664,0.0,0.0
2018-07-16,24,0,0,1,0.0,0.0,0.041666666666666664,0.0,0.0
2018-07-17,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-18,23,1,5,6,0.043478260869565216,0.21739130434782608,0.2608695652173913,0.0,0.0
2018-07-19,24,8,18,15,0.3333333333333333,0.75,0.625,0.0,0.0
2018-07-20,24,0,3,3,0.0,0.125,0.125,0.0,0.0
2018-07-21,23,4,1,3,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.0,0.0
2018-07-22,24,7,0,7,0.2916666666666667,0.0,0.2916666666666667,0.0,0.0
2018-07-23,23,4,0,7,0.17391304347826086,0.0,0.30434782608695654,0.0,0.0
2018-07-24,24,5,1,5,0.20833333333333334,0.041666666666666664,0.20833333333333334,0.0,0.0
2018-07-25,24,4,0,4,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
2018-07-26,24,4,0,4,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
2018-07-27,24,3,2,4,0.125,0.08333333333333333,0.16666666666666666,0.0,0.0
2018-07-28,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-07-29,23,0,2,2,0.0,0.08695652173913043,0.08695652173913043,0.0,0.0
2018-07-30,24,0,0,18,0.0,0.0,0.75,0.0,0.0
2018-07-31,24,1,2,13,0.041666666666666664,0.08333333333333333,0.5416666666666666,0.0,0.0
2018-08-01,23,1,2,10,0.043478260869565216,0.08695652173913043,0.43478260869565216,0.0,0.0
2018-08-02,24,0,1,3,0.0,0.041666666666666664,0.125,0.0,0.0
2018-08-03,24,0,1,7,0.0,0.041666666666666664,0.2916666666666667,0.0,0.0
2018-08-04,24,0,0,2,0.0,0.0,0.08333333333333333,0.0,0.0
2018-08-05,24,3,5,7,0.125,0.20833333333333334,0.2916666666666667,0.0,0.0
2018-08-06,24,1,1,4,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.0,0.0
2018-08-07,24,0,2,3,0.0,0.08333333333333333,0.125,0.0,0.0
2018-08-08,24,1,1,6,0.041666666666666664,0.041666666666666664,0.25,0.0,0.0
2018-08-09,23,2,1,3,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.0,0.0
2018-08-10,24,0,2,4,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
2018-08-11,24,0,2,4,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
2018-08-12,24,0,1,2,0.0,0.041666666666666664,0.08333333333333333,0.0,0.0
2018-08-13,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-14,24,0,1,4,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0
2018-08-15,24,1,2,2,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.0,0.0
2018-08-16,24,0,4,4,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
2018-08-17,23,0,0,5,0.0,0.0,0.21739130434782608,0.0,0.0
2018-08-18,24,0,2,4,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0
2018-08-19,24,0,0,4,0.0,0.0,0.16666666666666666,0.0,0.0
2018-08-20,24,1,1,2,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0
2018-08-21,24,0,0,6,0.0,0.0,0.25,0.0,0.0
2018-08-22,24,0,1,0,0.0,0.041666666666666664,0.0,0.0,0.0
2018-08-23,22,0,1,2,0.0,0.045454545454545456,0.09090909090909091,0.0,0.0
2018-08-24,24,1,2,3,0.041666666666666664,0.08333333333333333,0.125,0.0,0.0
2018-08-25,24,0,1,4,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0
2018-08-26,24,0,0,9,0.0,0.0,0.375,0.0,0.0
2018-08-27,23,0,0,2,0.0,0.0,0.08695652173913043,0.0,0.0
2018-08-28,24,0,1,4,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0
2018-08-29,24,0,0,3,0.0,0.0,0.125,0.0,0.0
2018-08-30,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-08-31,23,1,0,2,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0
2018-09-01,24,1,0,3,0.041666666666666664,0.0,0.125,0.0,0.0
2018-09-02,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-03,24,0,0,4,0.0,0.0,0.16666666666666666,0.0,0.0
2018-09-04,24,1,0,0,0.041666666666666664,0.0,0.0,0.0,0.0
2018-09-05,24,0,0,4,0.0,0.0,0.16666666666666666,0.0,0.0
2018-09-06,24,0,0,1,0.0,0.0,0.041666666666666664,0.0,0.0
2018-09-07,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-08,22,0,0,4,0.0,0.0,0.18181818181818182,0.0,0.0
2018-09-09,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-10,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-11,24,0,0,7,0.0,0.0,0.2916666666666667,0.0,0.0
2018-09-12,24,0,0,14,0.0,0.0,0.5833333333333334,0.0,0.0
2018-09-13,24,2,1,5,0.08333333333333333,0.041666666666666664,0.20833333333333334,0.0,0.0
2018-09-14,23,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-15,24,0,0,2,0.0,0.0,0.08333333333333333,0.0,0.0
2018-09-16,24,5,0,15,0.20833333333333334,0.0,0.625,0.0,0.0
2018-09-17,24,1,0,1,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0
2018-09-18,24,0,0,1,0.0,0.0,0.041666666666666664,0.0,0.0
2018-09-19,24,0,0,0,0.0,0.0,0.0,0.0,0.0
2018-09-20,23,0,1,0,0.0,0.043478260869565216,0.0,0.0,0.0
2018-09-21,23,0,1,2,0.0,0.043478260869565216,0.08695652173913043,0.0,0.0
2018-09-22,24,3,0,5,0.125,0.0,0.20833333333333334,0.0,0.0
