day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-09,1,0,1,3,0.0,1.0,3.0,0.529166666666667,0.916666666666667
2018-01-10,39,0,2,7,0.0,0.05128205128205128,0.1794871794871795,0.331282606282606,0.621735671735672
2018-01-11,20,0,0,2,0.0,0.0,0.1,0.362824074074074,0.690092592592593
2018-01-12,13,1,8,11,0.07692307692307693,0.6153846153846154,0.8461538461538461,0.0424339549339549,0.198319735819736
2018-01-13,7,0,0,0,0.0,0.0,0.0,0.00649350649350649,0.126406926406926
2018-01-14,30,0,0,0,0.0,0.0,0.0,0.0382142857142857,0.137466931216931
2018-01-15,24,0,0,3,0.0,0.0,0.125,0.0133207070707071,0.062131734006734
2018-01-16,22,0,3,2,0.0,0.13636363636363635,0.09090909090909091,-0.00227272727272727,0.146590909090909
2018-01-17,15,0,0,0,0.0,0.0,0.0,0.00926767676767676,0.347929292929293
2018-01-18,2,0,0,1,0.0,0.0,0.5,0.0,0.0
2018-01-19,12,3,0,0,0.25,0.0,0.0,-0.0528724747474747,0.220864898989899
2018-01-20,24,0,0,0,0.0,0.0,0.0,-0.0337847222222222,0.258611111111111
2018-01-21,17,0,0,1,0.0,0.0,0.058823529411764705,0.0624798404210169,0.239296324590442
2018-01-22,21,0,0,0,0.0,0.0,0.0,-0.0197751322751323,0.251322751322751
2018-01-23,23,0,2,0,0.0,0.08695652173913043,0.0,0.0684892402283707,0.205028546332894
2018-01-24,18,0,1,1,0.0,0.05555555555555555,0.05555555555555555,0.0770021645021645,0.156905363155363
2018-01-25,21,0,0,0,0.0,0.0,0.0,0.104761904761905,0.161507936507937
2018-01-26,28,0,0,1,0.0,0.0,0.03571428571428571,0.0288582251082251,0.130936147186147
2018-01-27,23,0,0,0,0.0,0.0,0.0,-0.0272049689440994,0.250703933747412
2018-01-28,25,0,2,3,0.0,0.08,0.12,-0.0172727272727273,0.139090909090909
2018-01-29,18,0,0,0,0.0,0.0,0.0,0.0574144219977553,0.288475028058361
2018-01-30,22,0,0,0,0.0,0.0,0.0,0.0261363636363636,0.249242424242424
2018-01-31,16,2,1,0,0.125,0.0625,0.0,0.0104166666666667,0.214583333333333
2018-02-01,21,0,0,0,0.0,0.0,0.0,0.0285714285714286,0.179365079365079
2018-02-02,23,0,2,1,0.0,0.08695652173913043,0.043478260869565216,0.0322706882489491,0.191440021331326
2018-02-03,23,0,1,0,0.0,0.043478260869565216,0.0,0.111040294246816,0.198470575318401
2018-02-04,25,0,0,1,0.0,0.0,0.04,0.0203809523809524,0.10852380952381
2018-02-05,22,0,0,0,0.0,0.0,0.0,0.00623770169224715,0.156272136953955
2018-02-06,21,0,0,0,0.0,0.0,0.0,0.0895021645021645,0.199134199134199
2018-02-07,21,0,0,0,0.0,0.0,0.0,0.00120250120250119,0.243602693602694
2018-02-08,14,8,0,0,0.5714285714285714,0.0,0.0,-0.0170454545454545,0.298538961038961
2018-02-09,19,11,0,1,0.5789473684210527,0.0,0.05263157894736842,0.125677830940989,0.19366028708134
2018-02-10,22,0,0,0,0.0,0.0,0.0,0.0620064279155188,0.225964187327824
2018-02-11,27,0,1,1,0.0,0.037037037037037035,0.037037037037037035,0.02003367003367,0.17665544332211
2018-02-12,20,0,0,0,0.0,0.0,0.0,0.0905,0.231166666666667
2018-02-13,21,0,0,0,0.0,0.0,0.0,0.0664399092970522,0.206122448979592
2018-02-14,16,1,0,0,0.0625,0.0,0.0,-0.0106770833333333,0.183854166666667
2018-02-15,13,0,0,0,0.0,0.0,0.0,0.0254370629370629,0.0828671328671329
2018-02-16,12,0,1,0,0.0,0.08333333333333333,0.0,0.0621969696969697,0.270378787878788
2018-02-17,21,0,0,2,0.0,0.0,0.09523809523809523,0.0445887445887446,0.227994227994228
2018-02-18,25,0,0,0,0.0,0.0,0.0,0.0656111111111111,0.161888888888889
2018-02-19,18,0,0,0,0.0,0.0,0.0,0.00467171717171717,0.209090909090909
2018-02-20,13,0,0,1,0.0,0.0,0.07692307692307693,-0.0170940170940171,0.0658119658119658
2018-02-21,22,0,0,0,0.0,0.0,0.0,0.0258953168044077,0.0867866981503345
2018-02-22,24,0,0,3,0.0,0.0,0.125,-0.0266975308641975,0.149266975308642
2018-02-23,24,0,1,3,0.0,0.041666666666666664,0.125,0.0241645121853455,0.152622705226872
2018-02-24,26,1,0,0,0.038461538461538464,0.0,0.0,0.06875,0.259134615384615
2018-02-25,20,0,0,1,0.0,0.0,0.05,0.0477209595959596,0.234671717171717
2018-02-26,24,0,0,0,0.0,0.0,0.0,-0.00648336038961038,0.225325802669553
2018-02-27,29,0,0,0,0.0,0.0,0.0,0.0430041797283176,0.197175946658705
2018-02-28,26,1,0,0,0.038461538461538464,0.0,0.0,0.0582667332667333,0.181951381951382
2018-03-01,22,0,0,0,0.0,0.0,0.0,0.0977272727272727,0.138636363636364
2018-03-02,22,0,1,0,0.0,0.045454545454545456,0.0,0.0320641479732389,0.193686048799685
2018-03-03,24,0,1,1,0.0,0.041666666666666664,0.041666666666666664,0.0316806457431457,0.200793650793651
2018-03-04,25,0,0,0,0.0,0.0,0.0,0.0977424242424242,0.234141414141414
2018-03-05,23,0,0,5,0.0,0.0,0.21739130434782608,0.0364624505928854,0.316666666666667
2018-03-06,19,0,0,0,0.0,0.0,0.0,0.0356858054226475,0.231818181818182
2018-03-07,26,0,0,1,0.0,0.0,0.038461538461538464,0.0068444055944056,0.198487762237762
2018-03-08,20,0,0,0,0.0,0.0,0.0,-0.0234375,0.180625
2018-03-09,26,0,0,0,0.0,0.0,0.0,0.0198717948717949,0.147596153846154
2018-03-10,26,0,1,2,0.0,0.038461538461538464,0.07692307692307693,-0.0105769230769231,0.0480769230769231
