day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,271,38,2,9,0.14022140221402213,0.007380073800738007,0.033210332103321034,0.0263869187393173,0.174498849858628
2018-01-02,310,31,4,7,0.1,0.012903225806451613,0.02258064516129032,0.0348711675122966,0.2283963288802
2018-01-03,307,29,2,26,0.09446254071661238,0.006514657980456026,0.08469055374592833,0.0600306050265334,0.235608716292755
2018-01-04,242,4,4,6,0.01652892561983471,0.01652892561983471,0.024793388429752067,0.049439294062228,0.194029372831026
2018-01-05,249,5,6,8,0.020080321285140562,0.024096385542168676,0.0321285140562249,0.0339566056433526,0.152777560458283
2018-01-06,336,1,7,5,0.002976190476190476,0.020833333333333332,0.01488095238095238,0.0237489853896104,0.1277618177953
2018-01-07,295,5,0,18,0.01694915254237288,0.0,0.061016949152542375,0.0195430393523614,0.157442799667376
2018-01-08,286,12,4,17,0.04195804195804196,0.013986013986013986,0.05944055944055944,0.0297477417363781,0.185016628993902
2018-01-09,284,9,1,4,0.03169014084507042,0.0035211267605633804,0.014084507042253521,0.0259506180866766,0.1856786679674
2018-01-10,308,29,2,5,0.09415584415584416,0.006493506493506494,0.016233766233766232,-0.00116754277468563,0.165788169262195
2018-01-11,296,57,1,10,0.19256756756756757,0.0033783783783783786,0.033783783783783786,0.0200408098845599,0.188552879177879
2018-01-12,275,79,1,4,0.2872727272727273,0.0036363636363636364,0.014545454545454545,0.00466663605754515,0.120748882767065
2018-01-13,339,28,2,17,0.08259587020648967,0.0058997050147492625,0.05014749262536873,0.0373361193051459,0.121872273089087
2018-01-14,288,7,7,20,0.024305555555555556,0.024305555555555556,0.06944444444444445,0.01590786335578,0.16595635171156
2018-01-15,262,5,1,14,0.019083969465648856,0.003816793893129771,0.05343511450381679,0.03121943489787,0.183288306088879
2018-01-16,326,63,2,20,0.19325153374233128,0.006134969325153374,0.06134969325153374,0.0427176010764968,0.21372760249294
2018-01-17,320,12,5,13,0.0375,0.015625,0.040625,0.00615572578463203,0.134619690205628
