day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,80,4,6,21,0.05,0.075,0.2625,0.0369607233044733,0.238475559163059
2018-01-02,126,8,8,19,0.06349206349206349,0.06349206349206349,0.15079365079365079,0.0491693293479008,0.21906803293708
2018-01-03,138,12,9,28,0.08695652173913043,0.06521739130434782,0.2028985507246377,0.0547782430934605,0.211803464249116
2018-01-04,143,15,25,42,0.1048951048951049,0.17482517482517482,0.2937062937062937,0.0630586837405019,0.213776034571489
2018-01-05,89,9,11,20,0.10112359550561797,0.12359550561797752,0.2247191011235955,0.0550710556609433,0.183891807318774
2018-01-06,46,3,18,28,0.06521739130434782,0.391304347826087,0.6086956521739131,0.0358907004830918,0.21214007309116
2018-01-07,31,10,8,12,0.3225806451612903,0.25806451612903225,0.3870967741935484,0.0693548387096774,0.185483870967742
2018-01-08,52,5,6,11,0.09615384615384616,0.11538461538461539,0.21153846153846154,0.00907405094905095,0.240425407925408
2018-01-09,63,11,2,9,0.1746031746031746,0.031746031746031744,0.14285714285714285,0.00602453102453102,0.111183261183261
2018-01-10,42,4,11,16,0.09523809523809523,0.2619047619047619,0.38095238095238093,0.0157503607503607,0.228883477633478
2018-01-11,43,5,8,14,0.11627906976744186,0.18604651162790697,0.32558139534883723,0.047792459478506,0.209237138830162
2018-01-12,40,2,9,15,0.05,0.225,0.375,-0.0221761363636364,0.262308712121212
2018-01-13,16,1,5,6,0.0625,0.3125,0.375,0.0465435606060606,0.289346590909091
2018-01-14,20,1,2,4,0.05,0.1,0.2,-0.0319318181818182,0.215
2018-01-15,49,3,3,9,0.061224489795918366,0.061224489795918366,0.1836734693877551,0.0106256441970728,0.248413729128015
2018-01-16,35,2,4,6,0.05714285714285714,0.11428571428571428,0.17142857142857143,0.0708862863327149,0.251965058750773
2018-01-17,33,4,6,14,0.12121212121212122,0.18181818181818182,0.42424242424242425,0.0589695657877476,0.222353404171586
2018-01-18,36,2,14,18,0.05555555555555555,0.3888888888888889,0.5,0.0709595959595959,0.231902356902357
2018-01-19,53,0,12,12,0.0,0.22641509433962265,0.22641509433962265,0.0470068610634648,0.176160186773394
2018-01-20,33,5,4,12,0.15151515151515152,0.12121212121212122,0.36363636363636365,0.00299204162840527,0.197880318334864
2018-01-21,47,2,6,16,0.0425531914893617,0.1276595744680851,0.3404255319148936,-0.0137827745540512,0.109386417365141
2018-01-22,46,2,4,7,0.043478260869565216,0.08695652173913043,0.15217391304347827,-0.0343873517786561,0.171920289855072
2018-01-23,47,7,8,11,0.14893617021276595,0.1702127659574468,0.23404255319148937,0.0627337201805287,0.139756608639587
2018-01-24,71,20,7,16,0.28169014084507044,0.09859154929577464,0.22535211267605634,0.0989893908907993,0.219283885128956
2018-01-25,58,25,10,13,0.43103448275862066,0.1724137931034483,0.22413793103448276,0.0312434691745037,0.146290491118077
2018-01-26,30,10,6,4,0.3333333333333333,0.2,0.13333333333333333,0.00568181818181818,0.0975
2018-01-27,25,7,6,5,0.28,0.24,0.2,0.04,0.0633333333333333
2018-01-28,26,6,3,9,0.23076923076923078,0.11538461538461539,0.34615384615384615,-0.00657051282051282,0.0980769230769231
2018-01-29,32,7,3,10,0.21875,0.09375,0.3125,0.100416666666667,0.230789930555556
2018-01-30,31,1,5,14,0.03225806451612903,0.16129032258064516,0.45161290322580644,0.00806451612903226,0.102284946236559
2018-01-31,23,0,4,3,0.0,0.17391304347826086,0.13043478260869565,0.0995937637241985,0.194740887132191
2018-02-01,31,1,3,7,0.03225806451612903,0.0967741935483871,0.22580645161290322,0.0063966275659824,0.142827468230694
2018-02-02,24,2,2,3,0.08333333333333333,0.08333333333333333,0.125,0.0310395622895623,0.217392676767677
2018-02-03,13,0,3,4,0.0,0.23076923076923078,0.3076923076923077,0.113908313908314,0.253768453768454
2018-02-04,19,1,12,22,0.05263157894736842,0.631578947368421,1.1578947368421053,0.0385416666666667,0.266666666666667
2018-02-05,28,1,3,10,0.03571428571428571,0.10714285714285714,0.35714285714285715,0.0964082792207792,0.310423430735931
2018-02-06,29,2,27,35,0.06896551724137931,0.9310344827586207,1.206896551724138,0.0507706374085684,0.225182863113898
2018-02-07,31,1,4,7,0.03225806451612903,0.12903225806451613,0.22580645161290322,0.0160923753665689,0.213587487781036
2018-02-08,28,4,3,6,0.14285714285714285,0.10714285714285714,0.21428571428571427,0.0772907647907648,0.213696918161204
2018-02-09,20,3,7,6,0.15,0.35,0.3,0.0505681818181818,0.117727272727273
2018-02-10,29,4,8,14,0.13793103448275862,0.27586206896551724,0.4827586206896552,-0.00365726227795193,0.156452455590387
2018-02-11,25,0,11,18,0.0,0.44,0.72,-0.0005,0.172333333333333
2018-02-12,33,0,2,4,0.0,0.06060606060606061,0.12121212121212122,0.0184343434343434,0.20873890419345
2018-02-13,29,2,9,3,0.06896551724137931,0.3103448275862069,0.10344827586206896,0.0964509628302732,0.328646066577101
2018-02-14,32,2,8,13,0.0625,0.25,0.40625,0.0435842803030303,0.152355587121212
2018-02-15,34,2,10,21,0.058823529411764705,0.29411764705882354,0.6176470588235294,-0.0355392156862745,0.219409430438842
2018-02-16,36,6,11,11,0.16666666666666666,0.3055555555555556,0.3055555555555556,0.109820426487093,0.192199775533109
2018-02-17,13,3,2,3,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.0267191142191142,0.209294871794872
2018-02-18,7,1,3,1,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0194805194805195,0.0827922077922078
2018-02-19,29,4,8,8,0.13793103448275862,0.27586206896551724,0.27586206896551724,0.023876698014629,0.197439916405434
2018-02-20,30,1,3,6,0.03333333333333333,0.1,0.2,-0.0392976430976431,0.229035016835017
2018-02-21,27,2,6,6,0.07407407407407407,0.2222222222222222,0.2222222222222222,0.00164609053497942,0.0977366255144033
2018-02-22,26,1,5,6,0.038461538461538464,0.19230769230769232,0.23076923076923078,-0.00921717171717172,0.194065656565657
2018-02-23,151,16,16,38,0.10596026490066225,0.10596026490066225,0.25165562913907286,0.0246766864482096,0.211784424185086
2018-02-24,96,13,16,25,0.13541666666666666,0.16666666666666666,0.2604166666666667,0.0535669943482444,0.236326640662578
2018-02-25,97,22,15,65,0.2268041237113402,0.15463917525773196,0.6701030927835051,0.0710715750100415,0.267445999018164
2018-02-26,190,17,22,118,0.08947368421052632,0.11578947368421053,0.6210526315789474,0.0295705409356725,0.212471424774056
2018-02-27,204,23,36,92,0.11274509803921569,0.17647058823529413,0.45098039215686275,0.0454411853125089,0.222843906501995
2018-02-28,183,18,46,71,0.09836065573770492,0.25136612021857924,0.3879781420765027,0.0575271548427286,0.237063068231101
2018-03-01,187,33,22,43,0.17647058823529413,0.11764705882352941,0.22994652406417113,0.0537181208571583,0.220441687694362
2018-03-02,183,50,20,30,0.273224043715847,0.1092896174863388,0.16393442622950818,0.0431176617856946,0.226820547394318
2018-03-03,74,34,11,33,0.4594594594594595,0.14864864864864866,0.44594594594594594,0.0630169587200837,0.26029081029081
2018-03-04,90,18,18,43,0.2,0.2,0.4777777777777778,0.0739229397146064,0.23794544652878
2018-03-05,194,48,32,58,0.24742268041237114,0.16494845360824742,0.29896907216494845,0.0220107648651463,0.203620873685307
2018-03-06,200,13,20,33,0.065,0.1,0.165,0.0518169552669553,0.221389123376623
2018-03-07,205,40,46,75,0.1951219512195122,0.22439024390243903,0.36585365853658536,0.0656131876253828,0.224566219688171
2018-03-08,191,76,32,40,0.39790575916230364,0.16753926701570682,0.2094240837696335,0.0205787493483829,0.19302696939477
2018-03-09,147,13,26,50,0.08843537414965986,0.17687074829931973,0.3401360544217687,0.0606336721982981,0.24004289046806
2018-03-10,89,5,26,34,0.056179775280898875,0.29213483146067415,0.38202247191011235,0.0609927120320379,0.225921169966114
