day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,75,2,0,4,0.02666666666666667,0.0,0.05333333333333334,0.0594351150392817,0.201923400673401
2018-01-02,42,7,0,0,0.16666666666666666,0.0,0.0,0.117817122113997,0.163979076479076
2018-01-03,13,0,0,2,0.0,0.0,0.15384615384615385,0.118181818181818,0.148251748251748
2018-01-04,43,1,2,5,0.023255813953488372,0.046511627906976744,0.11627906976744186,0.0472863323154021,0.19252721008535
2018-01-05,1,0,1,3,0.0,1.0,3.0,0.0,0.0
2018-01-06,6,0,2,2,0.0,0.3333333333333333,0.3333333333333333,0.15,0.266666666666667
2018-01-07,60,1,12,14,0.016666666666666666,0.2,0.23333333333333334,0.00365230429292929,0.216935606060606
2018-01-08,12,2,1,3,0.16666666666666666,0.08333333333333333,0.25,0.0718695887445888,0.161102994227994
2018-01-09,31,2,1,8,0.06451612903225806,0.03225806451612903,0.25806451612903225,-0.00629480286738351,0.137007168458781
2018-01-10,8,1,3,3,0.125,0.375,0.375,-0.0797111742424242,0.266950757575758
2018-01-12,49,44,9,15,0.8979591836734694,0.1836734693877551,0.30612244897959184,0.0778975984333127,0.289314058956916
2018-01-13,11,4,1,3,0.36363636363636365,0.09090909090909091,0.2727272727272727,-0.0386363636363636,0.140909090909091
2018-01-14,99,20,5,47,0.20202020202020202,0.050505050505050504,0.47474747474747475,0.0671402737390742,0.232763517814023
2018-01-15,39,1,8,7,0.02564102564102564,0.20512820512820512,0.1794871794871795,0.0165865384615385,0.152991452991453
2018-01-16,10,0,0,3,0.0,0.0,0.3,0.0275,0.211458333333333
2018-01-19,35,20,2,3,0.5714285714285714,0.05714285714285714,0.08571428571428572,0.0751298701298701,0.250714285714286
2018-01-20,92,88,4,12,0.9565217391304348,0.043478260869565216,0.13043478260869565,0.0272312801932367,0.154651405357927
2018-01-21,73,26,3,12,0.3561643835616438,0.0410958904109589,0.1643835616438356,0.0738683928324339,0.223578248235782
2018-01-22,32,0,0,4,0.0,0.0,0.125,-0.00220170454545454,0.0775568181818182
2018-01-23,39,16,1,11,0.41025641025641024,0.02564102564102564,0.28205128205128205,0.0645733895733896,0.234314759314759
2018-01-24,29,8,0,13,0.27586206896551724,0.0,0.4482758620689655,-0.00956112852664577,0.193534482758621
2018-01-25,9,2,1,2,0.2222222222222222,0.1111111111111111,0.2222222222222222,-0.0111111111111111,0.0666666666666667
2018-01-26,82,288,2,6,3.5121951219512195,0.024390243902439025,0.07317073170731707,0.0491705190981106,0.252918988193378
2018-01-27,42,0,2,30,0.0,0.047619047619047616,0.7142857142857143,0.0590624355802927,0.16688517831375
2018-01-28,6,0,0,5,0.0,0.0,0.8333333333333334,0.116666666666667,0.316666666666667
2018-01-29,18,0,0,0,0.0,0.0,0.0,0.0478009259259259,0.2325
2018-01-30,28,0,0,6,0.0,0.0,0.21428571428571427,0.0156079931972789,0.219929138321995
2018-01-31,21,15,0,0,0.7142857142857143,0.0,0.0,0.112581598295884,0.292819349962207
2018-02-01,1,0,0,2,0.0,0.0,2.0,0.118181818181818,0.45
2018-02-03,16,1,0,2,0.0625,0.0,0.125,0.0802067550505051,0.19604797979798
2018-02-04,32,4,2,6,0.125,0.0625,0.1875,0.0311099273989899,0.27941130050505
2018-02-05,49,34,1,13,0.6938775510204082,0.02040816326530612,0.2653061224489796,0.0293080219100627,0.173383249403658
2018-02-06,12,3,0,2,0.25,0.0,0.16666666666666666,0.0320430871212121,0.404166666666667
2018-02-07,21,12,1,22,0.5714285714285714,0.047619047619047616,1.0476190476190477,0.0168073593073593,0.255079365079365
2018-02-08,5,0,0,6,0.0,0.0,1.2,0.3,0.16
2018-02-09,12,8,0,8,0.6666666666666666,0.0,0.6666666666666666,0.173773448773449,0.289157196969697
2018-02-10,27,20,5,3,0.7407407407407407,0.18518518518518517,0.1111111111111111,0.0947706228956229,0.208641975308642
2018-02-12,10,0,0,0,0.0,0.0,0.0,0.242133838383838,0.474513888888889
2018-02-13,76,59,4,13,0.7763157894736842,0.05263157894736842,0.17105263157894737,0.0470389396787423,0.209455456823878
2018-02-14,14,0,0,0,0.0,0.0,0.0,0.0678571428571429,0.163095238095238
2018-02-15,10,8,0,1,0.8,0.0,0.1,0.01,0.327008547008547
2018-02-16,124,23,9,43,0.18548387096774194,0.07258064516129033,0.3467741935483871,0.0855529808453196,0.307000506214216
2018-02-17,56,1,0,12,0.017857142857142856,0.0,0.21428571428571427,0.0355320785984848,0.137276785714286
2018-02-18,84,2,1,11,0.023809523809523808,0.011904761904761904,0.13095238095238096,0.0347621409674981,0.154274376417234
2018-02-19,31,3,0,17,0.0967741935483871,0.0,0.5483870967741935,0.0103345280764636,0.366636798088411
2018-02-20,63,0,4,20,0.0,0.06349206349206349,0.31746031746031744,-0.0210925391480947,0.338636459072967
2018-02-21,38,0,6,19,0.0,0.15789473684210525,0.5,-0.0276540071770335,0.22755615364168
2018-02-22,1,0,0,2,0.0,0.0,2.0,0.5,0.2
2018-02-23,26,1,5,6,0.038461538461538464,0.19230769230769232,0.23076923076923078,0.143893745143745,0.267031857031857
2018-02-24,41,2,0,17,0.04878048780487805,0.0,0.4146341463414634,0.0775523527962552,0.171468341956147
2018-02-25,19,0,1,12,0.0,0.05263157894736842,0.631578947368421,0.0635025062656642,0.125563909774436
2018-02-26,11,1,0,4,0.09090909090909091,0.0,0.36363636363636365,0.108924471992654,0.316827364554637
2018-02-27,35,0,3,13,0.0,0.08571428571428572,0.37142857142857144,0.0274603174603175,0.331111111111111
2018-02-28,2,0,0,3,0.0,0.0,1.5,0.40625,0.225
2018-03-01,5,0,1,8,0.0,0.2,1.6,-0.0533333333333333,0.386666666666667
2018-03-02,39,2,1,3,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.0748672623672624,0.249511137011137
2018-03-03,43,9,10,13,0.20930232558139536,0.23255813953488372,0.3023255813953488,0.0312896405919662,0.119291754756871
2018-03-04,40,5,0,3,0.125,0.0,0.075,-0.0339358005275974,0.183553841991342
2018-03-05,70,3,0,12,0.04285714285714286,0.0,0.17142857142857143,0.0824784902597403,0.261558982683983
2018-03-06,72,8,9,27,0.1111111111111111,0.125,0.375,0.0873064724627225,0.234659842472342
2018-03-08,1,1,0,1,1.0,0.0,1.0,0.5,0.2
2018-03-09,15,0,0,5,0.0,0.0,0.3333333333333333,-0.0108333333333333,0.157222222222222
2018-03-10,8,1,0,4,0.125,0.0,0.5,0.148268398268398,0.161201298701299
2018-03-11,4,0,0,2,0.0,0.0,0.5,0.108333333333333,0.583333333333333
2018-03-12,81,3,6,8,0.037037037037037035,0.07407407407407407,0.09876543209876543,-0.0157825165232573,0.230269983788502
2018-03-13,55,1,0,10,0.01818181818181818,0.0,0.18181818181818182,0.0296234684507412,0.24948344483799
2018-03-14,48,1,4,4,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.122407599995491,0.255288374819625
2018-03-15,17,0,0,2,0.0,0.0,0.11764705882352941,0.0331932773109244,0.0760504201680672
2018-03-16,78,3,3,16,0.038461538461538464,0.038461538461538464,0.20512820512820512,0.0549138824138824,0.225780076405076
2018-03-17,28,0,1,6,0.0,0.03571428571428571,0.21428571428571427,-0.0226159474206349,0.275843253968254
2018-03-18,1,0,0,1,0.0,0.0,1.0,0.5,0.2
2018-03-19,96,3,7,19,0.03125,0.07291666666666667,0.19791666666666666,0.0417169450738787,0.223763490560366
2018-03-20,30,0,1,2,0.0,0.03333333333333333,0.06666666666666667,0.0815951178451178,0.297929292929293
2018-03-21,101,1,6,24,0.009900990099009901,0.0594059405940594,0.2376237623762376,0.0359253306283009,0.186680322794184
2018-03-22,20,2,2,7,0.1,0.1,0.35,0.0803409090909091,0.278825757575758
2018-03-23,2,0,0,2,0.0,0.0,1.0,0.0625,0.5625
2018-03-24,47,0,5,3,0.0,0.10638297872340426,0.06382978723404255,0.00599881796690307,0.196394799054374
2018-03-26,104,2,10,20,0.019230769230769232,0.09615384615384616,0.19230769230769232,-0.00674322964362026,0.227554563492063
2018-03-27,45,0,1,4,0.0,0.022222222222222223,0.08888888888888889,-0.00246632996632997,0.118333333333333
2018-03-28,101,2,3,22,0.019801980198019802,0.0297029702970297,0.21782178217821782,0.0250021801630713,0.285670921487753
2018-03-30,32,5,0,15,0.15625,0.0,0.46875,-0.112459468428707,0.333722267316017
2018-04-01,45,0,3,4,0.0,0.06666666666666667,0.08888888888888889,-0.154734647554217,0.440826919993587
2018-04-02,33,0,0,6,0.0,0.0,0.18181818181818182,0.00199848184223184,0.311649175740085
2018-04-03,99,3,3,25,0.030303030303030304,0.030303030303030304,0.25252525252525254,-0.00699806250409943,0.312853590012681
2018-04-04,43,1,1,5,0.023255813953488372,0.023255813953488372,0.11627906976744186,-0.0591722876606598,0.322436155575691
2018-04-05,15,1,0,0,0.06666666666666667,0.0,0.0,-0.139065656565657,0.446540404040404
2018-04-06,100,1,5,16,0.01,0.05,0.16,-0.0530990936147186,0.332119859307359
2018-04-07,34,0,2,18,0.0,0.058823529411764705,0.5294117647058824,0.0888935574229692,0.233501400560224
2018-04-08,35,0,1,4,0.0,0.02857142857142857,0.11428571428571428,-0.0679130591630592,0.300818903318903
2018-04-09,29,4,3,11,0.13793103448275862,0.10344827586206896,0.3793103448275862,0.0419211535590846,0.261371530768083
2018-04-10,25,0,8,11,0.0,0.32,0.44,-0.0276103896103896,0.214896103896104
2018-04-11,1,0,0,2,0.0,0.0,2.0,0.5,0.2
2018-04-12,100,0,58,49,0.0,0.58,0.49,0.00515818903318903,0.31328832972583
2018-04-13,26,4,4,31,0.15384615384615385,0.15384615384615385,1.1923076923076923,-0.121039377289377,0.34617673992674
2018-04-14,2,0,0,2,0.0,0.0,1.0,0.4625,0.525
2018-04-15,55,0,2,14,0.0,0.03636363636363636,0.2545454545454545,0.0284830549816345,0.243921028466483
2018-04-16,49,2,1,11,0.04081632653061224,0.02040816326530612,0.22448979591836735,0.0184433621933622,0.198384353741497
2018-04-17,105,3,6,55,0.02857142857142857,0.05714285714285714,0.5238095238095238,0.0416287277537278,0.194136363636364
2018-04-18,67,0,5,10,0.0,0.07462686567164178,0.14925373134328357,-0.0180165107229007,0.338736243027288
2018-04-19,85,0,3,23,0.0,0.03529411764705882,0.27058823529411763,0.0418684746625923,0.228702996350055
2018-04-20,34,1,4,10,0.029411764705882353,0.11764705882352941,0.29411764705882354,0.0936497326203208,0.224461527035056
2018-04-21,7,0,0,2,0.0,0.0,0.2857142857142857,0.00688775510204082,0.390816326530612
2018-04-22,77,1,2,10,0.012987012987012988,0.025974025974025976,0.12987012987012986,0.00474808380652537,0.211002183242443
2018-04-23,54,1,7,13,0.018518518518518517,0.12962962962962962,0.24074074074074073,0.06450995849144,0.313308236687866
2018-04-24,52,0,0,5,0.0,0.0,0.09615384615384616,0.0136582167832168,0.219886363636364
2018-04-25,91,0,3,13,0.0,0.03296703296703297,0.14285714285714285,0.0669385673849959,0.325975611689897
2018-04-26,56,7,3,6,0.125,0.05357142857142857,0.10714285714285714,0.0466882902150759,0.202911985501271
2018-04-27,15,0,0,2,0.0,0.0,0.13333333333333333,-0.00326388888888888,0.360277777777778
2018-04-29,7,0,0,2,0.0,0.0,0.2857142857142857,0.0142857142857143,0.242857142857143
2018-04-30,14,0,1,0,0.0,0.07142857142857142,0.0,-0.00467032967032967,0.170054945054945
2018-05-01,46,0,1,3,0.0,0.021739130434782608,0.06521739130434782,0.0643284553610641,0.231314307673003
2018-05-03,16,0,1,3,0.0,0.0625,0.1875,-0.0202020202020202,0.262152777777778
2018-05-04,8,0,4,5,0.0,0.5,0.625,-0.0942268668831169,0.442857142857143
2018-05-05,26,0,0,4,0.0,0.0,0.15384615384615385,-0.00371711621711622,0.247298534798535
2018-05-07,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-05-08,27,0,3,8,0.0,0.1111111111111111,0.2962962962962963,0.0418490460157127,0.179405162738496
2018-05-09,1,0,0,1,0.0,0.0,1.0,0.5,0.2
2018-05-11,8,3,0,1,0.375,0.0,0.125,0.0828282828282828,0.277020202020202
2018-05-13,100,0,0,14,0.0,0.0,0.14,-0.0338082927489177,0.24559503968254
2018-05-14,30,0,1,8,0.0,0.03333333333333333,0.26666666666666666,0.00102693602693602,0.236296296296296
2018-05-15,26,0,2,2,0.0,0.07692307692307693,0.07692307692307693,0.081002331002331,0.281439393939394
2018-05-17,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-05-18,14,1,1,8,0.07142857142857142,0.07142857142857142,0.5714285714285714,0.0530225726654298,0.163108122036693
2018-05-19,1,0,0,2,0.0,0.0,2.0,0.5,0.2
2018-05-21,38,0,0,4,0.0,0.0,0.10526315789473684,0.0612978468899522,0.267719298245614
2018-05-23,1,0,0,1,0.0,0.0,1.0,0.5,0.2
2018-05-25,79,1,3,15,0.012658227848101266,0.0379746835443038,0.189873417721519,0.0701380897583429,0.242635212888377
2018-05-26,55,2,4,12,0.03636363636363636,0.07272727272727272,0.21818181818181817,0.0329545454545454,0.137575757575758
2018-05-27,24,0,0,9,0.0,0.0,0.375,0.0311447811447811,0.167434764309764
2018-05-29,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-05-30,12,0,0,0,0.0,0.0,0.0,0.0141662157287157,0.350974025974026
2018-05-31,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-01,70,1,2,15,0.014285714285714285,0.02857142857142857,0.21428571428571427,-0.0174378994021851,0.191934394970109
2018-06-02,14,0,0,3,0.0,0.0,0.21428571428571427,0.10974025974026,0.221753246753247
2018-06-03,35,0,2,6,0.0,0.05714285714285714,0.17142857142857143,0.00781565656565657,0.295880230880231
2018-06-04,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-05,32,0,4,5,0.0,0.125,0.15625,0.122230113636364,0.29514678030303
2018-06-06,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-08,36,2,0,6,0.05555555555555555,0.0,0.16666666666666666,0.08565867003367,0.264478114478114
2018-06-09,24,0,0,8,0.0,0.0,0.3333333333333333,-0.0383680555555556,0.344155092592593
2018-06-10,35,1,0,16,0.02857142857142857,0.0,0.45714285714285713,0.115555555555556,0.269920634920635
2018-06-11,12,0,0,1,0.0,0.0,0.08333333333333333,-0.0995265151515152,0.205397727272727
2018-06-12,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-13,23,0,3,3,0.0,0.13043478260869565,0.13043478260869565,0.0953557312252964,0.135869565217391
2018-06-14,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-15,40,0,2,5,0.0,0.05,0.125,0.0293181818181818,0.128181818181818
2018-06-16,42,0,2,11,0.0,0.047619047619047616,0.2619047619047619,0.13729514533086,0.287670068027211
2018-06-17,25,0,0,1,0.0,0.0,0.04,0.0568333333333333,0.126952380952381
2018-06-18,1,0,0,1,0.0,0.0,1.0,0.5,0.2
2018-06-19,78,1,4,6,0.01282051282051282,0.05128205128205128,0.07692307692307693,0.0245639776889777,0.218992118992119
2018-06-20,7,0,0,8,0.0,0.0,1.1428571428571428,0.0193452380952381,0.141666666666667
2018-06-22,8,0,0,1,0.0,0.0,0.125,0.0375,0.05
2018-06-24,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-25,8,0,0,0,0.0,0.0,0.0,0.0291666666666667,0.495138888888889
2018-06-26,13,0,2,4,0.0,0.15384615384615385,0.3076923076923077,0.0630869130869131,0.287037962037962
2018-06-27,23,0,2,3,0.0,0.08695652173913043,0.13043478260869565,0.0016798418972332,0.179446640316206
2018-06-28,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-06-29,39,1,1,4,0.02564102564102564,0.02564102564102564,0.10256410256410256,0.0386752136752137,0.207905982905983
2018-06-30,27,1,3,9,0.037037037037037035,0.1111111111111111,0.3333333333333333,-0.0240740740740741,0.134259259259259
2018-07-02,23,0,0,5,0.0,0.0,0.21739130434782608,0.0316017316017316,0.251129305477132
2018-07-03,7,0,0,1,0.0,0.0,0.14285714285714285,0.0222402597402597,0.196753246753247
2018-07-04,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-07-06,1,0,0,0,0.0,0.0,0.0,0.5,0.2
2018-07-07,30,0,2,7,0.0,0.06666666666666667,0.23333333333333334,0.0383080808080808,0.240479797979798
2018-07-10,37,0,1,8,0.0,0.02702702702702703,0.21621621621621623,-0.0124341874341874,0.355888030888031
2018-07-11,15,0,0,5,0.0,0.0,0.3333333333333333,0.194880952380952,0.289603174603175
2018-07-12,60,1,2,10,0.016666666666666666,0.03333333333333333,0.16666666666666666,0.0447979797979798,0.234928451178451
2018-07-13,24,1,1,7,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.00694444444444444,0.0923611111111111
2018-07-14,22,1,1,4,0.045454545454545456,0.045454545454545456,0.18181818181818182,-0.00681818181818182,0.0962121212121212
2018-07-15,3,0,1,4,0.0,0.3333333333333333,1.3333333333333333,0.266666666666667,0.466666666666667
2018-07-16,4,0,0,1,0.0,0.0,0.25,-0.0243055555555555,0.311111111111111
2018-07-17,11,0,0,1,0.0,0.0,0.09090909090909091,-0.0239669421487603,0.0803030303030303
2018-07-18,23,0,0,2,0.0,0.0,0.08695652173913043,0.0117259552042161,0.0907773386034256
2018-07-19,14,0,1,1,0.0,0.07142857142857142,0.07142857142857142,0.0114285714285714,0.0421428571428571
2018-07-20,2,0,0,1,0.0,0.0,0.5,0.0,0.0
2018-07-21,6,0,1,1,0.0,0.16666666666666666,0.16666666666666666,0.168560606060606,0.284090909090909
2018-07-22,3,0,0,1,0.0,0.0,0.3333333333333333,0.1,0.233333333333333
2018-07-23,65,2,2,4,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.0390687437562438,0.202539127539128
2018-07-26,60,0,5,3,0.0,0.08333333333333333,0.05,0.0368668831168831,0.190194805194805
