day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-01-01,62,1,2,4,0.016129032258064516,0.03225806451612903,0.06451612903225806,0.0350798814760508,0.132429130009775
2018-01-02,84,1,1,6,0.011904761904761904,0.011904761904761904,0.07142857142857142,0.0279247083934584,0.115848965848966
2018-01-03,59,0,10,12,0.0,0.1694915254237288,0.2033898305084746,0.0318781030645437,0.096075158363294
2018-01-04,60,1,2,5,0.016666666666666666,0.03333333333333333,0.08333333333333333,0.0202819865319865,0.175538720538721
2018-01-05,70,0,8,15,0.0,0.11428571428571428,0.21428571428571427,0.00482539682539682,0.0837460317460317
2018-01-06,63,0,5,11,0.0,0.07936507936507936,0.1746031746031746,0.0474612193362193,0.138528138528139
2018-01-07,64,2,5,16,0.03125,0.078125,0.25,0.00849151391143579,0.0891087211399711
2018-01-08,66,1,5,9,0.015151515151515152,0.07575757575757576,0.13636363636363635,0.00707070707070707,0.138131313131313
2018-01-09,68,1,5,9,0.014705882352941176,0.07352941176470588,0.1323529411764706,0.0287351455733809,0.131113339275104
2018-01-10,84,0,4,6,0.0,0.047619047619047616,0.07142857142857142,0.00539321789321789,0.0719787157287157
2018-01-11,73,0,6,24,0.0,0.0821917808219178,0.3287671232876712,0.0260194409851944,0.13047703057977
2018-01-12,69,1,6,7,0.014492753623188406,0.08695652173913043,0.10144927536231885,0.0162238325281804,0.113969404186795
2018-01-13,61,5,7,21,0.08196721311475409,0.11475409836065574,0.3442622950819672,0.00634050546448087,0.0957513661202186
2018-01-14,68,1,2,14,0.014705882352941176,0.029411764705882353,0.20588235294117646,0.00846609477124183,0.0814857609710551
2018-01-15,61,3,4,6,0.04918032786885246,0.06557377049180328,0.09836065573770492,0.0387295081967213,0.102459016393443
2018-01-16,143,1,10,26,0.006993006993006993,0.06993006993006994,0.18181818181818182,0.0313616938616939,0.0907536907536907
2018-01-17,124,2,13,26,0.016129032258064516,0.10483870967741936,0.20967741935483872,0.00423474375087278,0.0759661709258484
2018-01-18,77,1,4,16,0.012987012987012988,0.05194805194805195,0.2077922077922078,0.00729184235677742,0.159082475965593
2018-01-19,79,3,2,22,0.0379746835443038,0.02531645569620253,0.27848101265822783,0.0148909985935302,0.125969459513763
2018-01-20,86,1,10,18,0.011627906976744186,0.11627906976744186,0.20930232558139536,0.00817990956072351,0.0557978036175711
2018-01-21,81,0,5,22,0.0,0.06172839506172839,0.2716049382716049,0.013042071954109,0.0862576381094899
2018-01-22,103,3,5,18,0.02912621359223301,0.04854368932038835,0.17475728155339806,0.00806364617044229,0.0841578055170288
2018-01-23,96,1,8,10,0.010416666666666666,0.08333333333333333,0.10416666666666667,0.0128935185185185,0.0936168981481482
2018-01-24,83,17,3,10,0.20481927710843373,0.03614457831325301,0.12048192771084337,0.019595046854083,0.0683065595716198
2018-01-25,79,12,7,22,0.1518987341772152,0.08860759493670886,0.27848101265822783,0.0301543920214806,0.115179598882131
2018-01-26,84,10,8,16,0.11904761904761904,0.09523809523809523,0.19047619047619047,0.00462962962962963,0.0818187830687831
2018-01-27,90,5,7,15,0.05555555555555555,0.07777777777777778,0.16666666666666666,0.00740740740740741,0.0575462962962963
2018-01-28,66,9,5,8,0.13636363636363635,0.07575757575757576,0.12121212121212122,0.00983126721763086,0.0633264462809917
2018-01-29,50,2,4,11,0.04,0.08,0.22,0.0189285714285714,0.160492063492064
2018-01-30,76,1,2,6,0.013157894736842105,0.02631578947368421,0.07894736842105263,-0.0389985380116959,0.129824561403509
2018-01-31,63,0,13,14,0.0,0.20634920634920634,0.2222222222222222,-0.00640747039556564,0.0787777147896195
2018-02-01,121,0,11,20,0.0,0.09090909090909091,0.1652892561983471,0.0050870272977711,0.0868144252441773
2018-02-02,128,1,14,37,0.0078125,0.109375,0.2890625,0.00724229600694444,0.0875390625
2018-02-03,95,5,2,9,0.05263157894736842,0.021052631578947368,0.09473684210526316,0.0192397660818713,0.0621637426900585
2018-02-04,107,1,22,33,0.009345794392523364,0.205607476635514,0.308411214953271,-0.00641021361815754,0.139065420560748
2018-02-05,169,2,18,45,0.011834319526627219,0.10650887573964497,0.26627218934911245,0.00444933338563146,0.142739525431833
2018-02-06,139,0,11,22,0.0,0.07913669064748201,0.15827338129496402,0.0149998183271565,0.124952765060679
2018-02-07,104,1,9,15,0.009615384615384616,0.08653846153846154,0.14423076923076922,0.0167766608391608,0.095388986013986
2018-02-08,110,5,7,14,0.045454545454545456,0.06363636363636363,0.12727272727272726,-0.00314033189033189,0.104363275613276
2018-02-09,105,0,4,10,0.0,0.0380952380952381,0.09523809523809523,-0.00103992303992304,0.118826358826359
2018-02-10,89,5,19,20,0.056179775280898875,0.21348314606741572,0.2247191011235955,0.0187265917602996,0.152421080791867
2018-02-11,128,3,17,21,0.0234375,0.1328125,0.1640625,0.00993896484375,0.134856770833333
2018-02-12,90,5,11,12,0.05555555555555555,0.12222222222222222,0.13333333333333333,-0.00153306878306878,0.0872010582010582
2018-02-13,85,5,6,11,0.058823529411764705,0.07058823529411765,0.12941176470588237,0.00398692810457516,0.0902287581699346
2018-02-14,97,1,15,26,0.010309278350515464,0.15463917525773196,0.26804123711340205,0.0129152348224513,0.112084765177549
2018-02-15,94,2,5,7,0.02127659574468085,0.05319148936170213,0.07446808510638298,0.0156276864388567,0.130308403180744
2018-02-16,71,0,9,24,0.0,0.1267605633802817,0.3380281690140845,0.0449374021909233,0.132449139280125
2018-02-17,106,0,10,11,0.0,0.09433962264150944,0.10377358490566038,0.0262721555174385,0.116137793024585
2018-02-18,105,1,6,13,0.009523809523809525,0.05714285714285714,0.12380952380952381,0.018044733044733,0.128495670995671
2018-02-19,88,1,2,5,0.011363636363636364,0.022727272727272728,0.056818181818181816,0.0320247933884298,0.102582644628099
2018-02-20,119,0,4,6,0.0,0.03361344537815126,0.05042016806722689,0.00794195794439935,0.161260504201681
2018-02-21,124,0,10,11,0.0,0.08064516129032258,0.08870967741935484,-0.00024997963506028,0.115112821766048
2018-02-22,107,0,5,7,0.0,0.04672897196261682,0.06542056074766354,0.0304776739356179,0.151298026998962
2018-02-23,94,0,7,12,0.0,0.07446808510638298,0.1276595744680851,0.00632387706855792,0.103503883823033
2018-02-24,132,0,7,16,0.0,0.05303030303030303,0.12121212121212122,0.00364989860728497,0.0962618610345883
2018-02-25,106,1,7,9,0.009433962264150943,0.0660377358490566,0.08490566037735849,0.0240507968839337,0.103502001143511
2018-02-26,97,0,1,9,0.0,0.010309278350515464,0.09278350515463918,0.00214497701611104,0.0947918061320123
2018-02-27,98,0,7,11,0.0,0.07142857142857142,0.11224489795918367,0.00471938775510204,0.0720238095238095
2018-02-28,104,0,5,12,0.0,0.04807692307692308,0.11538461538461539,-0.0155447807400932,0.128553321678322
2018-03-01,102,2,4,15,0.0196078431372549,0.0392156862745098,0.14705882352941177,0.0175245098039216,0.123611111111111
2018-03-02,75,0,3,3,0.0,0.04,0.04,0.0247348484848485,0.0950606060606061
2018-03-03,84,1,2,6,0.011904761904761904,0.023809523809523808,0.07142857142857142,-0.00922619047619048,0.0857142857142857
2018-03-04,72,0,3,6,0.0,0.041666666666666664,0.08333333333333333,0.0219080687830688,0.212996031746032
2018-03-05,88,0,1,2,0.0,0.011363636363636364,0.022727272727272728,0.0349076704545455,0.106331168831169
2018-03-06,106,1,2,6,0.009433962264150943,0.018867924528301886,0.05660377358490566,0.0101534210024776,0.167705355441204
2018-03-07,112,0,1,12,0.0,0.008928571428571428,0.10714285714285714,0.0134548611111111,0.116902281746032
2018-03-08,135,21,17,42,0.15555555555555556,0.1259259259259259,0.3111111111111111,0.00462962962962963,0.12962962962963
2018-03-09,134,2,4,13,0.014925373134328358,0.029850746268656716,0.09701492537313433,-0.00321310116086235,0.0856757877280265
2018-03-10,143,1,14,26,0.006993006993006993,0.0979020979020979,0.18181818181818182,0.0284691318782228,0.14001554001554
2018-03-11,112,1,6,12,0.008928571428571428,0.05357142857142857,0.10714285714285714,0.0249503968253968,0.0940972222222222
2018-03-12,115,0,8,7,0.0,0.06956521739130435,0.06086956521739131,0.0136433172302738,0.0788083735909823
2018-03-13,108,0,6,14,0.0,0.05555555555555555,0.12962962962962962,-0.00323522927689595,0.0811177248677249
2018-03-14,130,1,4,10,0.007692307692307693,0.03076923076923077,0.07692307692307693,-0.00709084185045724,0.12347776582392
