day,num_tweets,num_replies,num_retweets,num_likes,avg_replies,avg_retweets,avg_likes,avg_polarity,avg_subjectivity
2018-10-24,7,0,0,0,0.0,0.0,0.0,0.0274621212121212,0.36875
2018-10-25,82,0,0,7,0.0,0.0,0.08536585365853659,0.0422199594669107,0.380202611187367
2018-10-26,96,0,0,3,0.0,0.0,0.03125,0.0399783925565176,0.321142770713083
2018-10-27,47,0,0,1,0.0,0.0,0.02127659574468085,0.124605899419729,0.395533258113045
2018-10-28,34,0,0,0,0.0,0.0,0.0,0.0209778987352517,0.422810616670911
2018-10-29,40,0,0,0,0.0,0.0,0.0,0.0853501758658009,0.444802421536797
2018-10-30,89,0,0,0,0.0,0.0,0.0,0.0418502575244148,0.35571226578249
2018-10-31,176,0,1,0,0.0,0.005681818181818182,0.0,0.072644265128285,0.348362138703048
2018-11-01,124,0,0,0,0.0,0.0,0.0,0.0751285362263185,0.392640579178886
2018-11-02,91,0,0,0,0.0,0.0,0.0,0.0353180658627087,0.336304076875505
2018-11-03,59,0,2,2,0.0,0.03389830508474576,0.03389830508474576,0.0824426264256773,0.332593968335494
2018-11-04,63,0,0,0,0.0,0.0,0.0,0.0935075671682814,0.403071278735961
2018-11-05,130,0,0,4,0.0,0.0,0.03076923076923077,0.254365632978133,0.4540138000888
2018-11-06,107,0,0,0,0.0,0.0,0.0,0.234916093511888,0.452853036371728
2018-11-07,77,0,0,0,0.0,0.0,0.0,0.23178284886367,0.421323306280403
2018-11-08,33,0,0,1,0.0,0.0,0.030303030303030304,0.244049188676083,0.426326333318758
2018-11-09,77,0,1,0,0.0,0.012987012987012988,0.0,0.212854120987238,0.44346744345121
2018-11-10,61,0,0,0,0.0,0.0,0.0,0.238766650699028,0.474466378794248
2018-11-11,56,0,0,0,0.0,0.0,0.0,0.217812948253796,0.453129053073249
2018-11-12,132,0,0,0,0.0,0.0,0.0,0.234311476052006,0.437285013827763
2018-11-13,107,0,0,0,0.0,0.0,0.0,0.211220537034789,0.430898586442979
2018-11-14,138,0,0,0,0.0,0.0,0.0,0.180297370258917,0.46524098987177
2018-11-15,118,0,0,0,0.0,0.0,0.0,0.191030152717653,0.452408394375555
2018-11-16,38,0,0,0,0.0,0.0,0.0,0.20406033798421,0.472539752610241
2018-11-17,52,0,0,0,0.0,0.0,0.0,0.209085287232609,0.497106326213469
2018-11-18,44,0,0,1,0.0,0.0,0.022727272727272728,0.211207857798767,0.473083575200053
2018-11-19,209,0,0,0,0.0,0.0,0.0,0.209238487201705,0.460402490075935
2018-11-20,170,0,0,1,0.0,0.0,0.0058823529411764705,0.202401656394881,0.43662410226717
2018-11-21,142,0,0,0,0.0,0.0,0.0,0.205072024317623,0.451256373256373
2018-11-22,119,0,0,0,0.0,0.0,0.0,0.190678836180937,0.434869458894669
2018-11-23,123,0,0,0,0.0,0.0,0.0,0.24302876690834,0.471629968383017
2018-11-24,83,0,0,0,0.0,0.0,0.0,0.248984701431991,0.431179190064732
2018-11-25,79,0,0,1,0.0,0.0,0.012658227848101266,0.227774040891129,0.453417683465152
2018-11-26,134,0,0,0,0.0,0.0,0.0,0.261181706456893,0.435730761775538
2018-11-27,147,0,0,0,0.0,0.0,0.0,0.259916430870087,0.459918216829782
2018-11-28,119,0,0,0,0.0,0.0,0.0,0.252059409622435,0.447036258948024
2018-11-29,116,0,0,1,0.0,0.0,0.008620689655172414,0.261205535963079,0.444294998583792
2018-11-30,116,0,0,3,0.0,0.0,0.02586206896551724,0.208198966781941,0.461681931175466
2018-12-01,63,0,0,0,0.0,0.0,0.0,0.220923850179803,0.468633901371997
2018-12-02,87,0,0,9,0.0,0.0,0.10344827586206896,0.21481070903341,0.457875046303207
2018-12-03,137,0,0,3,0.0,0.0,0.021897810218978103,0.246615382623594,0.45703275806378
2018-12-04,100,0,0,0,0.0,0.0,0.0,0.260433247955748,0.446660024050024
2018-12-05,106,0,0,0,0.0,0.0,0.0,0.236522848657283,0.462398745995444
2018-12-06,111,0,0,0,0.0,0.0,0.0,0.255519186394186,0.463493145743146
2018-12-07,129,0,0,2,0.0,0.0,0.015503875968992248,0.245811298664012,0.449648420342219
2018-12-08,58,0,0,0,0.0,0.0,0.0,0.252592824799721,0.492689038930418
2018-12-09,56,0,0,0,0.0,0.0,0.0,0.230290049732014,0.449404761904762
2018-12-10,84,0,0,0,0.0,0.0,0.0,0.261279552898601,0.476196618967453
2018-12-11,93,0,0,0,0.0,0.0,0.0,0.22227270399851,0.450824997284675
2018-12-12,95,0,0,0,0.0,0.0,0.0,0.239407382091593,0.406247246905142
2018-12-13,126,0,0,0,0.0,0.0,0.0,0.236111442753308,0.428849611954771
2018-12-14,122,0,0,0,0.0,0.0,0.0,0.237512347814602,0.461371832099291
2018-12-15,36,0,0,0,0.0,0.0,0.0,0.235595478595479,0.432936868686869
2018-12-16,113,0,0,0,0.0,0.0,0.0,0.271598475271042,0.438928709769418
2018-12-17,106,0,0,0,0.0,0.0,0.0,0.256339180211822,0.475148846960168
2018-12-18,53,0,0,1,0.0,0.0,0.018867924528301886,0.250754788450543,0.418132179316141
2018-12-19,46,0,0,1,0.0,0.0,0.021739130434782608,0.281613083474497,0.445078247537487
2018-12-20,61,0,0,0,0.0,0.0,0.0,0.284013998296785,0.441870520190192
2018-12-21,48,0,0,1,0.0,0.0,0.020833333333333332,0.22764736276455,0.426977926587302
2018-12-22,58,0,0,1,0.0,0.0,0.017241379310344827,0.252475576387214,0.430815041440041
2018-12-23,37,0,0,1,0.0,0.0,0.02702702702702703,0.248726226226226,0.444752252252252
2018-12-24,88,1,9,11,0.011363636363636364,0.10227272727272728,0.125,0.233813858963007,0.463669863385772
2018-12-25,41,0,0,0,0.0,0.0,0.0,0.206478900503291,0.452371757646148
2018-12-26,71,0,0,0,0.0,0.0,0.0,0.232777697328754,0.43542378135688
2018-12-27,45,0,0,0,0.0,0.0,0.0,0.241524470899471,0.420001322751323
2018-12-28,60,0,0,0,0.0,0.0,0.0,0.235880501443001,0.439469817219817
2018-12-29,66,0,1,1,0.0,0.015151515151515152,0.015151515151515152,0.225056134031513,0.444107294080779
2018-12-30,61,0,0,0,0.0,0.0,0.0,0.256054081013097,0.456524850377309
2018-12-31,64,0,1,3,0.0,0.015625,0.046875,0.247992747414622,0.456030849792569
2019-01-01,72,0,1,7,0.0,0.013888888888888888,0.09722222222222222,0.256044889202875,0.435094969202608
2019-01-02,106,0,1,2,0.0,0.009433962264150943,0.018867924528301886,0.266174055242451,0.444516109545591
2019-01-03,98,0,0,0,0.0,0.0,0.0,0.257497848995298,0.468673853451915
2019-01-04,113,0,0,0,0.0,0.0,0.0,0.230576883989495,0.437428182477961
2019-01-05,57,0,0,0,0.0,0.0,0.0,0.209322295638085,0.463245221639959
2019-01-06,80,0,0,0,0.0,0.0,0.0,0.233202872474747,0.432155871212121
2019-01-08,26,0,0,0,0.0,0.0,0.0,0.220172022422022,0.431536477411477
2019-01-09,106,0,0,0,0.0,0.0,0.0,0.239039860362384,0.413538283781208
2019-01-10,125,0,0,3,0.0,0.0,0.024,0.235819361712362,0.434020708772709
2019-01-11,81,1,0,0,0.012345679012345678,0.0,0.0,0.261907285672718,0.47739881289264
2019-01-12,33,0,0,0,0.0,0.0,0.0,0.223302057370239,0.468587235996327
2019-01-13,81,0,0,0,0.0,0.0,0.0,0.254590511226314,0.429369792872879
2019-01-14,116,0,0,3,0.0,0.0,0.02586206896551724,0.230018542879534,0.439422270736926
2019-01-15,91,0,0,5,0.0,0.0,0.054945054945054944,0.284120633995634,0.458390456104742
2019-01-16,87,0,0,3,0.0,0.0,0.034482758620689655,0.238855564401541,0.429919605192594
2019-01-17,98,0,0,6,0.0,0.0,0.061224489795918366,0.28760033154676,0.403520442520442
2019-01-18,85,0,0,7,0.0,0.0,0.08235294117647059,0.265839890501655,0.43555850522027
2019-01-19,84,0,0,0,0.0,0.0,0.0,0.281965196675018,0.455541807729308
2019-01-20,66,0,0,0,0.0,0.0,0.0,0.254441541436491,0.43559250210134
2019-01-21,47,0,0,0,0.0,0.0,0.0,0.259447265205244,0.443003438641736
2019-01-22,109,0,0,12,0.0,0.0,0.11009174311926606,0.265718992568763,0.4293969688144
2019-01-23,140,0,0,0,0.0,0.0,0.0,0.259025514069264,0.43885082972583
2019-01-24,104,0,0,1,0.0,0.0,0.009615384615384616,0.24640477778098,0.464843816706797
2019-01-25,90,0,0,0,0.0,0.0,0.0,0.238627117738229,0.447876890599113
2019-01-26,65,0,0,0,0.0,0.0,0.0,0.278051240426241,0.455237956487957
2019-01-27,82,0,0,0,0.0,0.0,0.0,0.254120117405178,0.452921872616995
2019-01-28,121,0,0,0,0.0,0.0,0.0,0.240609881280336,0.447074377183881
2019-01-29,110,0,0,0,0.0,0.0,0.0,0.269101360192837,0.471772914207005
2019-01-30,116,0,0,0,0.0,0.0,0.0,0.266107290578196,0.45473342103299
2019-01-31,106,0,0,0,0.0,0.0,0.0,0.272659815813118,0.421084376751829
2019-02-01,115,0,0,0,0.0,0.0,0.0,0.250357806846937,0.441656858439467
