filename,# of formulae,# of cells with formulae,(# of cells with formulae) / (# of formulae)
albert_meyers_000_1_1.pst.0.xls,6438,2977,0.46241068654861758310
albert_meyers_000_1_1.pst.1.xls,6550,3005,0.45877862595419847328
andrea_ring_000_1_1.pst.0.xls,5160,436,0.08449612403100775194
andrea_ring_000_1_1.pst.1.xls,415,33,0.07951807228915662651
andrea_ring_000_1_1.pst.10.xls,162,0,0E-20
andrea_ring_000_1_1.pst.11.xls,162,0,0E-20
andrea_ring_000_1_1.pst.12.xls,403,169,0.41935483870967741935
andrea_ring_000_1_1.pst.13.xls,427,177,0.41451990632318501171
andrea_ring_000_1_1.pst.14.xls,388,162,0.41752577319587628866
andrea_ring_000_1_1.pst.15.xls,189,86,0.45502645502645502646
andrea_ring_000_1_1.pst.16.xls,1033,549,0.53146176185866408519
andrea_ring_000_1_1.pst.17.xls,1034,550,0.53191489361702127660
andrew_lewis_000_1_1.pst.0.xls,40,0,0E-20
andrew_lewis_000_1_1.pst.1.xls,5942,455,0.07657354426119151801
andrew_lewis_000_1_1.pst.10.xls,430,0,0E-20
andrew_lewis_000_1_1.pst.12.xls,6880,4575,0.66497093023255813953
andrew_lewis_000_1_1.pst.2.xls,328,0,0E-20
andrew_lewis_000_1_1.pst.21.xls,3467,0,0E-20
andrew_lewis_000_1_1.pst.22.xls,3483,0,0E-20
andrew_lewis_000_1_1.pst.3.xls,268,183,0.68283582089552238806
andrew_lewis_000_1_1.pst.33.xls,600,4,0.00666666666666666667
andrew_lewis_000_1_1.pst.37.xls,2457,0,0E-20
andrew_lewis_000_1_1.pst.39.xls,181,70,0.38674033149171270718
andrew_lewis_000_1_1.pst.4.xls,627,0,0E-20
andrew_lewis_000_1_1.pst.40.xls,442,84,0.19004524886877828054
andrew_lewis_000_1_1.pst.41.xls,712,0,0E-20
andrew_lewis_000_1_1.pst.43.xls,714,0,0E-20
andy_zipper_000_1_1.pst.0.xls,120,0,0E-20
andy_zipper_000_1_1.pst.1.xls,310,0,0E-20
andy_zipper_000_1_1.pst.10.xls,1220,445,0.36475409836065573770
andy_zipper_000_1_1.pst.100.xls,18,0,0E-20
andy_zipper_000_1_1.pst.101.xls,20,0,0E-20
andy_zipper_000_1_1.pst.102.xls,20,0,0E-20
andy_zipper_000_1_1.pst.103.xls,534,473,0.88576779026217228464
andy_zipper_000_1_1.pst.104.xls,18057,2652,0.14686825053995680346
andy_zipper_000_1_1.pst.105.xls,5108,8,0.00156617071260767424
andy_zipper_000_1_1.pst.106.xls,169634,65470,0.38594857163068724430
andy_zipper_000_1_1.pst.107.xls,162,0,0E-20
andy_zipper_000_1_1.pst.108.xls,21842,0,0E-24
andy_zipper_000_1_1.pst.109.xls,50474,0,0E-24
andy_zipper_000_1_1.pst.11.xls,2012,619,0.30765407554671968191
andy_zipper_000_1_1.pst.110.xls,8144,0,0E-20
andy_zipper_000_1_1.pst.111.xls,18809,2748,0.14610027114679142963
andy_zipper_000_1_1.pst.112.xls,3497,1129,0.32284815556191020875
andy_zipper_000_1_1.pst.113.xls,162,0,0E-20
andy_zipper_000_1_1.pst.114.xls,5029,8,0.00159077351362099821
andy_zipper_000_1_1.pst.115.xls,149809,65470,0.43702314280183433572
andy_zipper_000_1_1.pst.116.xls,2688,41,0.01525297619047619048
andy_zipper_000_1_1.pst.117.xls,2689,41,0.01524730383042023057
andy_zipper_000_1_1.pst.118.xls,5238,8,0.00152730049637266132
andy_zipper_000_1_1.pst.119.xls,162,0,0E-20
andy_zipper_000_1_1.pst.12.xls,160119,9783,0.06109830813332583891
andy_zipper_000_1_1.pst.120.xls,174644,65470,0.37487689242115389020
andy_zipper_000_1_1.pst.121.xls,5166,8,0.00154858691444057298
andy_zipper_000_1_1.pst.122.xls,174409,65470,0.37538200436904058850
andy_zipper_000_1_1.pst.123.xls,162,0,0E-20
andy_zipper_000_1_1.pst.124.xls,3936,1295,0.32901422764227642276
andy_zipper_000_1_1.pst.125.xls,36,4,0.11111111111111111111
andy_zipper_000_1_1.pst.126.xls,14,0,0E-20
andy_zipper_000_1_1.pst.127.xls,18,0,0E-20
andy_zipper_000_1_1.pst.128.xls,20,0,0E-20
andy_zipper_000_1_1.pst.129.xls,20,0,0E-20
andy_zipper_000_1_1.pst.13.xls,160120,9783,0.06109792655508368723
andy_zipper_000_1_1.pst.130.xls,534,473,0.88576779026217228464
andy_zipper_000_1_1.pst.131.xls,5169,8,0.00154768814083962082
andy_zipper_000_1_1.pst.132.xls,108,0,0E-20
andy_zipper_000_1_1.pst.133.xls,162,0,0E-20
andy_zipper_000_1_1.pst.134.xls,15326,3269,0.21329766410022184523
andy_zipper_000_1_1.pst.135.xls,50120,0,0E-24
andy_zipper_000_1_1.pst.136.xls,21587,0,0E-24
andy_zipper_000_1_1.pst.137.xls,8248,0,0E-20
andy_zipper_000_1_1.pst.138.xls,174299,65470,0.37561890773900022375
andy_zipper_000_1_1.pst.139.xls,162,0,0E-20
andy_zipper_000_1_1.pst.14.xls,18057,2652,0.14686825053995680346
andy_zipper_000_1_1.pst.140.xls,4327,1412,0.32632308758955396349
andy_zipper_000_1_1.pst.141.xls,4740,1556,0.32827004219409282700
andy_zipper_000_1_1.pst.142.xls,164328,65470,0.39841049608100871428
andy_zipper_000_1_1.pst.143.xls,5417,8,0.00147683219494184973
andy_zipper_000_1_1.pst.144.xls,157836,65470,0.41479763805468967789
andy_zipper_000_1_1.pst.145.xls,162,0,0E-20
andy_zipper_000_1_1.pst.146.xls,178777,65471,0.36621601212683958227
andy_zipper_000_1_1.pst.147.xls,162,0,0E-20
andy_zipper_000_1_1.pst.148.xls,5359,8,0.00149281582384773279
andy_zipper_000_1_1.pst.149.xls,162,0,0E-20
andy_zipper_000_1_1.pst.150.xls,5374,8,0.00148864905098623000
andy_zipper_000_1_1.pst.151.xls,36,4,0.11111111111111111111
andy_zipper_000_1_1.pst.152.xls,14,0,0E-20
andy_zipper_000_1_1.pst.153.xls,36,0,0E-20
andy_zipper_000_1_1.pst.154.xls,36,0,0E-20
andy_zipper_000_1_1.pst.155.xls,20,0,0E-20
andy_zipper_000_1_1.pst.156.xls,534,473,0.88576779026217228464
andy_zipper_000_1_1.pst.157.xls,148,0,0E-20
andy_zipper_000_1_1.pst.158.xls,1924,16,0.00831600831600831601
andy_zipper_000_1_1.pst.159.xls,2704,203,0.07507396449704142012
andy_zipper_000_1_1.pst.16.xls,175177,65471,0.37374198667633308026
andy_zipper_000_1_1.pst.160.xls,3148,203,0.06448538754764930114
andy_zipper_000_1_1.pst.161.xls,3726,221,0.05931293612453032743
andy_zipper_000_1_1.pst.162.xls,4700,252,0.05361702127659574468
andy_zipper_000_1_1.pst.163.xls,5211,273,0.05238917674150834773
andy_zipper_000_1_1.pst.164.xls,9231,418,0.04528220127830137580
andy_zipper_000_1_1.pst.165.xls,13654,1793,0.13131683023289878424
andy_zipper_000_1_1.pst.166.xls,20282,2951,0.14549847155112907997
andy_zipper_000_1_1.pst.167.xls,26271,7739,0.29458338091431616611
andy_zipper_000_1_1.pst.168.xls,27379,7879,0.28777530223894225501
andy_zipper_000_1_1.pst.169.xls,27913,7955,0.28499265575180023645
andy_zipper_000_1_1.pst.17.xls,95,14,0.14736842105263157895
andy_zipper_000_1_1.pst.170.xls,32475,8517,0.26226327944572748268
andy_zipper_000_1_1.pst.173.xls,70,0,0E-20
andy_zipper_000_1_1.pst.174.xls,102,0,0E-20
andy_zipper_000_1_1.pst.175.xls,34202,5864,0.17145196187357464476
andy_zipper_000_1_1.pst.176.xls,463,0,0E-20
andy_zipper_000_1_1.pst.177.xls,338,0,0E-20
andy_zipper_000_1_1.pst.178.xls,36,1,0.02777777777777777778
andy_zipper_000_1_1.pst.179.xls,127,25,0.19685039370078740157
andy_zipper_000_1_1.pst.18.xls,28750,8059,0.28031304347826086957
andy_zipper_000_1_1.pst.181.xls,152,56,0.36842105263157894737
andy_zipper_000_1_1.pst.185.xls,51,5,0.09803921568627450980
andy_zipper_000_1_1.pst.186.xls,52,6,0.11538461538461538462
